,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,3.0,10.0,1.0,4.0,3.0,0.0,1.0,2.0,40.0,2.0,0.0
gamestone.csv,0.0,2.0,0.0,0.0,8.0,0.0,111.0,25.0,178.0,0.0,106.0
gbif-providertoolkit.csv,4.0,59.0,1.0,2.0,0.0,0.0,1.0,7.0,28.0,1.0,1.0
heekscad.csv,1.0,4.0,2.0,1.0,2.0,0.0,0.0,16.0,70.0,3.0,1.0
igarden.csv,2.0,3.0,0.0,0.0,0.0,0.0,4.0,8.0,216.0,1.0,4.0
levent.csv,0.0,0.0,126.0,102.0,0.0,0.0,1.0,155.0,3583.0,158.0,0.0
lportal.csv,3.0,59.0,0.0,102.0,0.0,1.0,0.0,12.0,16.0,1.0,0.0
natpad.csv,0.0,14.0,1.0,3.0,3.0,0.0,1.0,11.0,23.0,9.0,0.0
openmsx.csv,2.0,6.0,0.0,0.0,1.0,0.0,11.0,18.0,3583.0,1.0,2.0
owlapi.csv,6.0,59.0,1.0,6.0,2.0,0.0,1.0,6.0,4.0,2.0,0.0
xcsoar.csv,1.0,5.0,7.0,5.0,2.0,1.0,1.0,13.0,70.0,0.0,0.0
