,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.66,0.4,0.04,0.1,0.11,0.55,0.61,0.81,0.29,0.16,0.92
haphazard.csv,0.31,0.25,0.48,0.06,0.08,0.4,0.52,0.55,0.47,0.31,0.59
jicarilla.csv,0.15,0.0,0.83,0.0,0.0,0.0,0.1,0.53,0.0,0.05,0.05
jruby.csv,0.73,0.22,0.57,0.04,0.12,0.52,0.0,0.83,0.21,0.05,0.79
optalgtoolkit.csv,0.43,0.35,0.52,0.09,0.09,0.63,0.35,0.82,0.2,0.21,0.27
ossim.csv,0.3,0.26,0.34,0.25,0.0,0.4,0.48,0.74,0.2,0.04,0.34
projectts.csv,0.66,0.27,0.09,0.11,0.1,0.39,0.74,0.09,0.33,0.07,0.88
qedo.csv,0.22,0.1,0.49,0.02,0.0,0.5,0.18,0.66,0.32,0.32,0.09
sabbu.csv,0.75,0.38,0.21,0.13,0.14,0.16,0.47,0.2,0.28,0.07,0.73
vxl.csv,0.66,0.3,0.24,0.13,0.07,0.38,0.57,0.52,0.29,0.16,0.74
zact.csv,0.49,0.05,0.0,0.13,0.26,0.0,0.26,0.08,0.09,0.1,0.36
