,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.54,0.25,0.05,0.05,0.06,0.38,0.56,0.83,0.18,0.09,0.87
haphazard.csv,0.32,0.19,0.5,0.03,0.05,0.35,0.71,0.64,0.38,0.2,0.88
jicarilla.csv,0.5,0.0,0.78,0.0,0.0,0.0,0.67,0.68,0.0,0.06,1.0
jruby.csv,0.66,0.23,0.63,0.03,0.06,0.4,0.0,0.71,0.14,0.03,0.9
optalgtoolkit.csv,0.56,0.31,0.48,0.05,0.05,0.63,0.44,0.72,0.13,0.12,0.87
ossim.csv,0.43,0.28,0.45,0.15,0.0,0.38,0.55,0.69,0.14,0.02,0.87
projectts.csv,0.61,0.24,0.18,0.06,0.05,0.31,0.72,0.67,0.22,0.05,0.86
qedo.csv,0.3,0.4,0.65,0.01,0.0,0.48,0.57,0.68,0.33,0.2,0.75
sabbu.csv,0.79,0.27,0.33,0.07,0.08,0.33,0.56,0.71,0.19,0.04,0.88
vxl.csv,0.57,0.26,0.28,0.08,0.04,0.32,0.61,0.81,0.19,0.09,0.85
zact.csv,0.53,0.14,0.0,0.08,0.15,0.0,0.44,0.5,0.11,0.08,0.9
