,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.79,0.96,1.08,0.95,1.0,1.0,0.81,0.44,0.99,0.97,1.0
haphazard.csv,0.97,0.81,0.68,0.9,0.8,0.76,0.63,0.85,0.46,0.4,0.7
jicarilla.csv,0.92,1.0,0.25,1.0,1.0,1.0,0.95,0.76,1.0,0.96,0.98
jruby.csv,0.48,0.82,0.56,0.94,0.89,0.73,1.0,1.0,0.89,1.03,0.6
optalgtoolkit.csv,0.72,0.66,0.71,0.74,0.78,0.43,0.87,0.89,0.88,0.55,0.86
ossim.csv,0.84,0.78,0.79,0.34,1.0,0.71,0.74,0.91,0.83,0.98,0.81
projectts.csv,0.56,0.77,0.97,0.67,0.9,0.85,0.47,0.96,0.66,0.89,1.0
qedo.csv,0.93,0.95,0.63,0.97,1.01,0.59,0.9,0.81,0.71,0.36,0.96
sabbu.csv,0.36,0.66,0.89,0.6,0.61,0.9,0.74,0.89,0.74,0.99,0.69
vxl.csv,0.68,0.73,0.93,0.6,0.83,0.81,0.67,0.65,0.72,0.81,0.82
zact.csv,0.7,0.97,1.0,0.72,0.32,1.0,0.88,0.96,0.94,0.88,0.79
