,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.44,0.4,0.7,0.41,0.41,0.71,0.56,0.72,0.12,0.0,0.21,0.46
emono.csv,0.3,0.33,0.61,0.35,0.34,0.69,0.6,0.72,0.07,0.06,0.33,0.73
freedom-erp.csv,0.5,0.32,0.67,0.05,0.0,0.42,0.19,0.76,0.0,0.0,0.03,0.65
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.19,0.08,0.0,0.0,0.4,0.0,0.0
jmoney.csv,0.77,0.25,0.69,0.42,0.38,0.61,0.33,0.37,0.21,0.0,0.37,0.61
jmonkeyengine.csv,0.21,0.3,0.46,0.45,0.48,0.54,0.43,0.0,0.12,0.06,0.39,0.72
jsidplay2.csv,0.57,0.1,0.85,0.17,0.28,0.67,0.7,0.74,0.05,0.0,0.17,0.29
matrex.csv,0.74,0.44,0.56,0.0,0.13,0.66,0.83,0.55,0.13,0.0,0.36,0.4
mediate.csv,0.48,0.3,0.47,0.32,0.42,0.7,0.58,0.58,0.23,0.08,0.0,0.33
mesa3d.csv,0.22,0.16,0.33,0.49,0.24,0.46,0.24,0.45,0.17,0.0,0.38,0.61
pustefix.csv,0.29,0.13,0.29,0.5,0.5,0.13,0.13,0.25,0.07,0.07,0.37,0.63
reaper3d.csv,0.43,0.09,0.63,0.44,0.31,0.09,0.2,0.47,0.25,0.0,0.0,0.28
