,dynalloy.csv,xbplayer.csv,autat.csv,runuomondains.csv,findbugs.csv
autat.csv,0.35,0.46,0.36,0.25,0.57
dynalloy.csv,0.62,0.35,0.07,0.1,0.4
findbugs.csv,0.45,0.48,0.24,0.26,0.53
runuomondains.csv,0.37,0.43,0.27,0.4,0.47
xbplayer.csv,0.46,0.58,0.26,0.22,0.32
