,fritzing.csv,arianne.csv,xuggle.csv,emeraldemu.csv,yield.csv,rsyslog.csv,planeshift.csv,grafx2.csv,wow-qrsk.csv,bacnet.csv,gnupdate.csv,alsa.csv,ardour.csv,multitude.csv,salasaga.csv,keyczar.csv,xmoto.csv,cortex-vfx.csv,gstreamer.csv,linux-ntfs.csv
alsa.csv,0.86,0.72,0.81,0.62,0.67,0.53,0.94,0.5,0.67,0.5,0.52,0.47,0.54,0.83,0.46,0.83,0.74,0.49,0.44,0.69
ardour.csv,0.82,0.78,0.69,0.58,0.92,0.52,0.51,0.51,0.52,0.41,0.56,0.52,0.47,0.67,0.47,0.82,0.52,0.58,0.55,0.69
arianne.csv,0.81,0.51,0.69,0.56,0.68,0.49,0.98,0.38,0.61,0.43,0.51,0.39,0.97,0.6,0.66,0.68,0.94,0.99,0.57,0.92
bacnet.csv,0.59,0.75,0.72,0.53,0.62,0.64,0.38,0.43,0.58,0.68,0.53,0.56,0.46,0.67,0.51,0.63,0.51,0.47,0.39,0.44
cortex-vfx.csv,0.57,0.78,0.73,0.54,0.91,0.6,0.73,0.62,0.67,0.86,0.91,0.7,0.57,0.91,0.94,0.88,0.62,0.89,0.63,0.61
emeraldemu.csv,0.43,0.54,0.8,0.61,0.65,0.63,0.38,0.48,0.66,0.72,0.87,0.69,0.47,0.84,0.62,0.92,0.57,0.55,0.91,0.55
fritzing.csv,0.55,0.75,0.56,0.46,0.6,0.53,0.42,0.44,0.54,0.42,0.62,0.66,0.45,0.51,0.39,0.43,0.46,0.68,0.55,0.52
gnupdate.csv,0.59,0.89,0.81,0.62,0.63,0.72,0.89,0.61,0.7,0.93,0.95,0.98,0.51,0.87,0.5,0.75,0.69,0.53,0.65,0.55
grafx2.csv,0.49,0.88,0.66,0.59,0.57,0.79,0.49,0.44,0.6,0.59,0.74,0.54,0.47,0.59,0.62,0.88,0.69,0.56,0.76,0.47
gstreamer.csv,0.45,0.56,0.57,0.39,0.47,0.6,0.39,0.53,0.48,0.56,0.44,0.45,0.39,0.54,0.45,0.46,0.47,0.43,0.44,0.37
keyczar.csv,0.95,0.63,0.63,0.51,0.6,0.44,0.63,0.42,0.51,0.37,0.56,0.44,0.97,0.51,0.42,0.46,0.75,0.46,0.4,0.41
linux-ntfs.csv,0.65,0.57,0.77,0.61,0.82,0.61,0.61,0.56,0.63,0.67,0.94,0.48,0.82,0.68,0.59,0.61,0.55,0.55,0.64,0.56
multitude.csv,0.44,0.49,0.52,0.44,0.45,0.39,0.44,0.36,0.5,0.42,0.38,0.4,0.39,0.5,0.56,0.49,0.42,0.51,0.33,0.34
planeshift.csv,0.55,0.66,0.5,0.38,0.47,0.5,0.38,0.33,0.42,0.41,0.42,0.38,0.36,0.42,0.47,0.51,0.46,0.45,0.33,0.34
rsyslog.csv,0.39,0.38,0.47,0.37,0.45,0.52,0.33,0.34,0.41,0.36,0.41,0.35,0.36,0.37,0.47,0.43,0.38,0.41,0.33,0.36
salasaga.csv,0.71,0.46,0.62,0.59,0.65,0.66,0.45,0.71,0.6,0.51,0.59,0.51,0.61,0.59,0.89,0.55,0.55,0.95,0.6,0.7
wow-qrsk.csv,0.43,0.47,0.75,0.72,0.7,0.53,0.48,0.64,0.84,0.38,0.54,0.6,0.68,0.74,0.54,0.0,0.55,0.78,0.72,0.41
xmoto.csv,0.52,0.58,0.59,0.44,0.55,0.58,0.39,0.5,0.53,0.72,0.67,0.56,0.39,0.7,0.55,0.56,0.55,0.57,0.82,0.39
xuggle.csv,0.45,0.98,0.98,0.9,0.75,0.94,0.5,0.93,0.99,0.91,0.94,0.83,0.7,0.91,0.0,0.8,0.83,0.89,0.75,0.0
yield.csv,0.48,0.4,0.58,0.39,0.51,0.49,0.35,0.41,0.46,0.44,0.4,0.36,0.38,0.52,0.44,0.67,0.43,0.4,0.32,0.44
