,fritzing.csv,arianne.csv,xuggle.csv,emeraldemu.csv,yield.csv,rsyslog.csv,planeshift.csv,grafx2.csv,wow-qrsk.csv,bacnet.csv,gnupdate.csv,alsa.csv,ardour.csv,multitude.csv,salasaga.csv,keyczar.csv,xmoto.csv,cortex-vfx.csv,gstreamer.csv,linux-ntfs.csv
alsa.csv,0.08,0.28,0.35,0.46,0.4,0.54,0.2,0.4,0.47,0.45,0.6,0.99,0.42,0.26,0.68,0.23,0.28,0.64,0.55,0.35
ardour.csv,0.22,0.25,0.46,0.58,0.17,1.0,0.44,1.0,0.59,0.87,0.9,0.59,0.98,0.38,0.71,0.19,0.42,0.45,0.68,0.38
arianne.csv,0.36,1.0,0.35,0.41,0.33,0.77,0.22,0.74,0.36,0.79,0.7,0.85,0.17,0.43,0.57,0.5,0.19,0.16,0.51,0.15
bacnet.csv,0.4,0.3,0.57,0.64,0.51,0.38,0.63,0.42,0.61,0.89,0.35,0.39,0.6,0.35,0.71,0.46,0.56,0.49,0.68,0.58
cortex-vfx.csv,0.62,0.25,0.5,0.59,0.22,0.58,0.31,0.28,0.46,0.29,0.4,0.29,0.38,0.25,0.18,0.15,0.53,0.95,0.32,0.5
emeraldemu.csv,0.79,0.64,0.37,0.96,0.57,0.46,0.62,0.44,0.53,0.24,0.4,0.31,0.56,0.23,0.68,0.19,0.42,0.55,0.2,0.62
fritzing.csv,0.96,0.33,0.8,0.72,0.49,0.77,0.65,0.81,0.67,0.79,0.4,0.31,0.74,0.49,0.71,0.48,0.67,0.51,0.46,0.62
gnupdate.csv,0.5,0.24,0.41,0.41,0.59,0.38,0.24,0.56,0.48,0.26,1.0,0.21,0.5,0.26,0.5,0.06,0.5,0.57,0.36,0.38
grafx2.csv,0.62,0.2,0.41,0.54,0.62,0.35,0.46,1.0,0.55,0.42,0.55,0.35,0.56,0.4,0.36,0.15,0.36,0.48,0.28,0.38
gstreamer.csv,0.53,0.49,0.5,0.78,0.63,0.27,0.63,0.4,0.71,0.42,0.5,0.61,0.68,0.57,0.82,0.6,0.56,0.75,0.97,0.77
keyczar.csv,0.11,0.26,0.48,0.5,0.38,0.46,0.37,0.47,0.48,0.63,0.65,0.53,0.18,0.55,0.86,0.98,0.28,0.82,0.59,0.77
linux-ntfs.csv,0.46,0.45,0.37,0.6,0.3,0.54,0.44,0.35,0.56,0.39,0.25,0.49,0.32,0.48,0.64,0.62,0.64,0.39,0.48,1.0
multitude.csv,0.5,0.54,0.63,0.7,0.63,0.5,0.56,0.74,0.68,0.63,0.55,0.61,0.73,0.97,0.39,0.62,0.58,0.69,0.71,0.73
planeshift.csv,0.47,0.36,0.83,0.8,0.7,0.38,0.98,0.6,0.79,0.71,0.6,0.67,0.9,0.72,0.75,0.83,0.69,0.74,0.72,0.69
rsyslog.csv,0.78,0.7,0.87,0.84,0.75,0.96,0.89,0.77,0.85,0.74,0.6,0.77,0.85,0.71,0.64,0.58,0.75,0.92,0.79,0.77
salasaga.csv,0.5,0.73,0.67,0.49,0.6,0.69,0.69,0.6,0.5,0.66,0.5,0.64,0.52,0.58,0.96,0.71,0.72,0.27,0.49,0.62
wow-qrsk.csv,0.72,0.7,0.43,0.49,0.38,0.92,0.57,0.6,0.97,1.0,0.95,0.48,0.41,0.29,0.96,0.02,0.56,0.34,0.37,0.54
xmoto.csv,0.57,0.47,0.78,0.74,0.7,0.42,0.59,0.35,0.7,0.34,0.25,0.38,0.72,0.42,0.36,0.54,0.92,0.39,0.29,0.69
xuggle.csv,0.78,0.19,0.98,0.3,0.06,0.23,0.41,0.07,0.17,0.03,0.1,0.01,0.3,0.17,0.0,0.08,0.22,0.06,0.31,0.04
yield.csv,0.78,0.86,0.74,0.84,0.98,0.88,0.81,0.84,0.75,0.68,0.7,0.79,0.75,0.58,0.86,0.4,0.67,0.81,0.8,0.88
