,gotjava.csv,empserver.csv,ctrlr.csv,anaxagora.csv,gmerlin.csv,ffigo.csv,skia.csv,zemljanka.csv,wikipediardware.csv
anaxagora.csv,0.0,0.06,0.14,0.9,0.38,0.13,0.43,0.16,0.0
ctrlr.csv,0.0,0.06,0.81,0.0,0.03,0.03,0.0,0.04,0.03
empserver.csv,0.0,0.86,0.29,0.33,0.69,0.34,0.57,0.3,0.47
ffigo.csv,0.0,0.72,0.43,0.57,0.5,0.99,0.74,0.38,0.71
gmerlin.csv,0.0,0.14,0.19,0.19,0.94,0.14,0.39,0.31,0.13
skia.csv,1.0,0.36,0.24,0.52,0.12,0.09,0.96,0.26,0.13
wikipediardware.csv,1.0,0.81,0.62,0.86,0.84,0.86,1.0,0.85,0.97
zemljanka.csv,1.0,0.69,0.95,1.0,0.94,0.84,1.0,1.0,0.92
