,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.13,0.49,0.23,1.0,0.32,0.34,0.58,0.09,0.88,0.19,0.86,0.38,0.47,0.5
elateportal.csv,0.1,0.34,0.31,0.69,0.44,0.5,0.53,0.12,0.85,0.11,0.84,0.45,0.35,1.0
gdis.csv,0.11,0.25,0.26,0.56,0.38,0.25,0.6,0.15,0.87,0.17,1.0,0.46,0.4,0.78
gzigzag.csv,0.57,0.47,1.0,0.9,0.33,0.58,0.58,0.33,0.89,0.06,0.75,0.57,0.54,1.0
icescrum.csv,0.58,0.63,0.31,1.0,0.31,0.54,0.48,0.0,1.0,0.22,0.9,0.45,1.0,0.75
jguard.csv,0.44,0.25,0.28,0.53,1.0,0.32,0.52,0.33,0.85,0.16,0.8,0.46,0.39,0.87
jitterbit.csv,0.49,0.99,0.32,0.45,0.32,0.46,0.54,0.06,0.91,0.24,0.72,0.2,0.53,0.91
jython.csv,1.0,0.28,0.24,0.55,0.31,0.26,0.88,0.08,0.83,0.11,0.5,0.42,0.43,0.75
personalaccess.csv,0.12,0.31,0.23,1.0,0.36,0.33,0.54,0.12,1.0,0.22,0.88,0.22,0.37,0.93
ppcboot.csv,0.13,0.31,0.26,0.69,0.35,0.29,0.98,0.25,0.9,0.15,0.82,0.33,0.45,0.93
repositorium.csv,0.08,0.36,0.22,0.31,0.38,0.44,0.53,1.0,0.81,0.16,0.81,0.43,0.38,0.92
unbvision.csv,0.44,0.58,0.24,1.0,0.32,1.0,0.58,0.4,0.86,0.14,0.84,0.32,0.36,0.88
wxstudio.csv,0.06,0.19,0.26,0.29,0.53,0.11,0.46,0.13,0.85,0.0,0.67,1.0,0.35,0.64
xbg.csv,0.57,0.55,0.29,0.0,0.0,0.0,0.65,0.0,0.67,1.0,1.0,0.0,1.0,1.0
