,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.25,0.57,0.47,0.48,0.41,0.5,0.64,0.64,0.44,0.56,0.49,0.63,0.39,0.75
elateportal.csv,0.95,0.46,0.56,0.38,0.5,0.67,0.79,0.43,0.72,0.47,0.39,0.54,0.32,0.3
gdis.csv,0.26,0.39,0.4,0.44,0.45,0.52,0.58,0.54,0.35,0.44,0.35,0.4,0.35,0.78
gzigzag.csv,0.96,0.85,0.79,0.7,0.92,0.79,0.8,0.89,0.8,0.88,0.7,0.86,0.69,0.4
icescrum.csv,0.96,0.75,0.54,0.71,0.39,0.62,0.39,0.68,0.75,0.89,0.33,0.91,0.58,0.75
jguard.csv,0.96,0.52,0.43,0.53,0.67,0.59,0.63,0.92,0.42,0.55,0.38,0.49,0.45,0.33
jitterbit.csv,0.97,0.71,0.52,0.55,0.61,0.96,0.73,0.94,0.51,0.82,0.56,0.95,0.6,0.3
jython.csv,0.95,0.48,0.47,0.42,0.49,0.5,0.88,0.47,0.42,0.44,0.75,0.61,0.7,0.65
personalaccess.csv,0.26,0.4,0.43,0.0,0.48,0.95,0.53,0.88,0.39,0.57,0.31,0.78,0.31,0.3
ppcboot.csv,0.26,0.46,0.4,0.49,0.47,0.52,0.76,0.96,0.44,0.44,0.44,0.58,0.33,0.31
repositorium.csv,0.28,0.67,0.44,0.94,0.67,0.94,0.57,0.9,0.53,0.56,0.53,0.82,0.38,0.32
unbvision.csv,0.93,0.76,0.41,0.62,0.45,0.73,0.72,0.8,0.46,0.47,0.58,0.74,0.36,0.31
wxstudio.csv,0.29,0.92,0.96,0.71,0.93,0.68,0.49,0.67,0.75,0.88,0.78,0.57,0.59,0.73
xbg.csv,0.86,0.97,0.86,0.0,0.86,0.5,0.94,0.0,0.67,0.88,0.0,0.0,0.0,0.0
