,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,1.0,0.68,0.99,0.37,0.6,0.45,0.78,0.91,0.86,0.25,0.43,0.88,0.73,0.33,0.56,0.97
betoffice.csv,0.42,0.89,0.45,0.89,1.0,0.83,0.96,0.53,0.5,0.88,0.83,0.88,0.85,0.95,0.89,0.62
bionote.csv,0.58,0.47,0.14,0.17,0.0,0.08,0.09,0.73,0.14,0.12,0.06,0.75,0.21,0.36,0.31,0.51
bnetd.csv,0.92,1.0,0.89,0.28,0.6,0.25,0.52,1.0,0.61,0.38,0.17,1.0,0.71,0.23,0.76,0.95
emisview.csv,0.33,0.0,0.01,0.15,0.1,0.26,0.04,0.11,0.19,0.0,0.14,0.62,0.27,0.38,0.31,0.05
findbugs.csv,1.0,0.42,1.0,0.22,0.9,0.4,0.7,0.67,0.66,0.0,0.77,0.0,0.67,0.13,0.24,0.72
hazelcast.csv,0.83,0.42,0.23,0.61,0.0,0.89,0.7,0.6,0.85,0.38,0.29,0.62,0.77,0.67,0.8,0.63
jitterbit.csv,1.0,0.63,0.48,0.59,0.5,0.62,0.22,0.27,0.22,0.12,0.97,0.25,0.75,0.64,0.47,0.36
jppf-project.csv,0.92,0.74,0.66,0.33,0.7,0.64,0.7,0.82,0.78,0.75,0.63,0.38,0.46,0.41,0.6,0.46
kolmafia.csv,0.92,1.0,0.97,0.57,0.0,0.85,0.65,1.0,0.47,0.5,0.37,0.75,0.69,0.23,0.91,0.72
megasquirtavr.csv,0.75,1.0,0.08,0.52,1.0,0.81,0.7,0.73,0.3,0.0,1.0,0.5,0.77,0.46,0.42,0.87
qedo.csv,0.08,0.74,0.42,0.41,0.2,0.23,0.39,0.27,0.31,0.5,0.4,0.25,0.42,0.28,0.2,0.22
trackit.csv,0.17,0.0,0.14,0.57,0.2,0.47,0.43,0.0,0.21,0.5,0.71,0.0,0.1,0.13,0.11,0.01
wxlua.csv,0.25,0.89,0.74,0.87,0.6,0.23,0.48,0.18,0.45,0.5,0.91,0.62,0.56,0.67,0.13,0.79
x4x.csv,0.42,0.74,0.52,0.54,0.7,0.11,0.78,0.84,0.63,0.25,0.29,0.75,0.56,0.44,0.51,0.92
xharbour.csv,0.92,0.11,0.67,0.61,0.3,0.74,0.57,0.64,0.6,0.62,0.89,0.62,0.5,0.46,0.73,0.82
