,n2cms.csv,nug.csv,codeblocks.csv,bulmages.csv,uclmda.csv,dataobjectsdotnet.csv
bulmages.csv,0.46,0.54,0.01,0.54,0.0,0.21
codeblocks.csv,0.29,0.56,0.72,0.06,0.62,0.39
dataobjectsdotnet.csv,0.48,0.32,0.54,0.65,0.38,0.61
n2cms.csv,0.71,0.45,0.41,0.67,0.35,0.55
nug.csv,0.45,0.73,0.21,0.35,0.69,0.13
uclmda.csv,0.0,0.0,0.37,0.06,0.99,0.13
