,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.68,0.53,0.45,0.75,0.39,0.97,0.66,0.5,0.53,0.63,0.48,0.67,0.75,0.54,0.74
atlc.csv,0.49,0.51,0.4,0.47,0.32,0.5,0.43,0.48,0.45,0.48,0.48,0.36,0.36,0.42,0.58
bwapi.csv,0.37,0.41,0.46,0.39,0.34,0.4,0.4,0.42,0.49,0.57,0.55,0.33,0.35,0.37,0.63
cubefs.csv,0.94,0.48,0.6,0.89,0.81,0.64,0.46,0.48,0.55,0.9,0.86,0.48,0.58,0.41,0.62
freewrl.csv,0.46,0.4,0.38,0.51,0.36,0.45,0.42,0.44,0.43,0.5,0.49,0.41,0.34,0.39,0.61
iaml.csv,0.5,0.46,0.75,0.67,0.47,0.4,0.58,0.74,0.79,0.78,0.6,0.5,0.43,0.48,0.66
jrdf.csv,0.83,0.73,0.76,0.0,0.75,0.51,0.7,0.79,0.91,0.88,0.92,0.83,0.8,0.58,0.49
kwave.csv,0.94,0.61,0.64,0.89,0.62,0.51,0.57,0.95,0.62,0.79,0.8,0.82,0.47,0.54,0.92
oscarmcmaster.csv,0.92,0.56,0.8,0.8,0.65,0.96,0.82,0.49,0.5,0.83,0.81,0.69,0.88,0.98,0.74
rtrt-on-gpu.csv,0.61,0.52,0.93,0.6,0.53,0.43,0.66,0.94,0.92,0.7,0.68,0.64,0.53,0.52,0.61
theresa.csv,0.0,0.0,0.67,0.0,0.0,0.0,0.92,0.0,0.0,0.67,0.5,0.0,0.0,0.75,0.75
thrust.csv,0.68,0.71,0.58,0.88,0.89,0.61,0.73,0.92,0.88,0.94,0.95,0.6,0.92,0.83,0.92
tktoolkit.csv,0.92,0.64,0.85,0.9,0.9,0.96,0.49,0.77,0.91,0.95,0.88,0.37,0.93,0.61,0.59
xstore.csv,0.83,0.58,0.47,0.8,0.62,0.4,0.62,0.59,0.8,0.66,0.52,0.89,0.89,0.55,0.68
yaprm.csv,0.62,0.75,0.75,0.57,0.51,0.97,0.81,0.89,0.61,0.84,0.65,0.59,0.87,0.64,0.87
