,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.57,0.69,0.34,0.45,0.95,0.19,0.39,0.53,0.5,0.47,0.51,0.38,0.05,0.53,0.0
atlc.csv,0.48,0.0,0.94,0.72,0.89,0.79,0.68,0.5,0.67,0.75,0.76,0.75,0.93,0.62,0.87
bwapi.csv,0.93,0.9,0.86,0.96,0.92,0.92,0.87,0.97,0.81,0.03,0.85,0.79,0.97,0.77,0.89
cubefs.csv,0.14,0.66,0.6,0.17,0.37,0.41,0.6,0.0,0.65,0.39,0.34,0.29,0.17,0.56,0.37
freewrl.csv,0.84,0.79,0.84,0.66,0.79,0.84,0.71,0.65,0.75,0.86,0.93,0.0,0.71,0.76,0.81
iaml.csv,0.55,0.34,0.24,0.04,0.55,0.86,0.04,0.5,0.21,0.33,0.41,0.71,0.69,0.63,0.15
jrdf.csv,0.05,0.28,0.34,0.0,0.03,0.42,0.19,0.12,0.21,0.11,0.07,0.17,0.0,0.31,0.23
kwave.csv,0.0,0.34,0.46,0.15,0.32,0.74,0.43,0.09,0.46,0.28,0.34,0.25,0.39,0.43,0.12
oscarmcmaster.csv,0.11,0.62,0.1,0.09,0.34,0.14,0.17,0.82,0.02,0.28,0.22,0.21,0.14,0.0,0.08
rtrt-on-gpu.csv,0.48,0.28,0.26,0.62,0.42,0.51,0.5,0.09,0.04,0.5,0.37,0.5,0.41,0.6,0.4
theresa.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.0
thrust.csv,0.52,0.41,0.38,0.02,0.05,0.26,0.35,0.21,0.1,0.19,0.32,0.38,0.12,0.27,0.1
tktoolkit.csv,0.11,0.59,0.26,0.13,0.13,0.01,0.76,0.32,0.12,0.28,0.29,0.92,0.17,0.41,0.57
xstore.csv,0.12,0.45,0.3,0.11,0.26,0.87,0.28,0.26,0.15,0.25,0.05,0.12,0.14,0.38,0.12
yaprm.csv,0.61,0.59,0.36,0.6,0.0,0.15,0.2,0.38,0.6,0.06,0.51,0.33,0.22,0.37,0.28
