,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.39,0.54,0.91,0.43,0.19,0.3,0.63,0.53,0.71,0.62,0.66,0.47,0.09,0.61,0.98
atlc.csv,0.77,1.0,0.24,0.57,0.37,0.44,0.53,0.48,0.52,0.45,0.54,0.59,0.27,0.62,0.37
bwapi.csv,0.27,0.35,0.45,0.17,0.3,0.3,0.41,0.13,0.49,0.96,0.4,0.54,0.13,0.54,0.32
cubefs.csv,0.55,0.61,0.0,0.07,0.22,0.42,0.45,0.98,0.22,0.33,0.34,0.55,0.64,0.61,0.86
freewrl.csv,0.37,0.54,0.49,0.69,0.55,0.42,0.56,0.54,0.56,0.38,0.26,1.0,0.65,0.57,0.45
iaml.csv,0.53,0.7,0.0,0.07,0.5,0.38,0.96,0.3,0.44,0.57,0.55,0.51,0.46,0.46,0.54
jrdf.csv,0.23,0.48,0.0,0.0,0.1,0.57,0.22,0.3,0.12,0.04,0.24,0.09,1.0,0.42,0.63
kwave.csv,1.0,0.64,0.64,0.14,0.42,0.48,0.46,0.25,0.42,0.3,0.39,0.22,0.6,0.47,0.04
oscarmcmaster.csv,0.43,0.54,0.0,0.07,0.31,0.2,0.31,0.4,0.12,0.13,0.3,0.34,0.0,0.89,0.7
rtrt-on-gpu.csv,0.28,0.63,0.37,0.57,0.45,0.51,0.53,0.21,0.99,0.45,0.5,0.48,0.54,0.5,0.68
theresa.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.05,0.0,0.0,0.02,0.13
thrust.csv,0.33,0.42,0.0,0.9,0.23,0.43,0.33,0.29,0.35,0.11,0.2,0.44,0.38,0.3,0.07
tktoolkit.csv,0.43,0.45,0.0,0.28,0.17,0.97,0.55,0.29,0.55,0.11,0.3,0.29,0.38,0.37,0.41
xstore.csv,0.36,0.6,0.68,0.0,0.34,0.41,0.3,0.43,0.34,0.22,0.96,0.26,0.09,0.53,0.59
yaprm.csv,0.21,0.29,0.66,0.61,0.96,0.34,0.37,0.34,0.72,0.62,0.42,0.37,0.16,0.46,0.35
