,zorannt.csv,dvt.csv,bloodycore.csv,dvd-create.csv,gbif-indexingtoolkit.csv,aime.csv,planeshift.csv,mumble.csv,truevision.csv
aime.csv,0.04,0.4,0.8,0.53,0.55,0.71,0.23,0.56,0.79
bloodycore.csv,0.04,0.17,0.87,0.35,0.45,0.14,0.27,0.08,0.18
dvd-create.csv,0.91,0.88,0.63,0.96,0.64,0.57,0.73,0.88,0.87
dvt.csv,0.09,0.93,0.29,0.22,0.18,0.57,0.19,0.24,0.03
gbif-indexingtoolkit.csv,0.13,0.1,0.07,0.09,0.91,0.14,0.19,0.04,0.08
mumble.csv,0.35,0.14,0.49,0.35,0.36,0.0,0.37,0.96,0.5
planeshift.csv,0.83,0.69,0.74,0.77,0.36,0.79,0.99,0.72,0.87
truevision.csv,0.74,0.69,0.41,0.69,0.82,0.71,0.67,0.76,0.97
zorannt.csv,0.87,0.29,0.23,0.09,0.82,0.14,0.2,0.04,0.26
