,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.37,0.83,0.43,0.15,0.22,0.22,0.43,0.34,0.37,0.7
aubit4gl.csv,0.03,0.33,0.29,0.15,0.7,0.17,0.36,0.13,0.78,0.03
liferea.csv,0.75,0.17,0.71,0.69,0.2,0.39,0.25,0.61,0.19,0.17
moving-pictures.csv,0.53,0.5,0.64,0.08,0.3,0.17,0.61,0.09,0.24,0.3
opensim4opencog.csv,0.63,0.33,0.79,0.92,0.83,0.61,0.46,0.55,0.43,0.53
plearn.csv,0.63,0.33,0.64,0.31,0.02,0.35,0.39,0.24,0.22,0.33
psrchive.csv,0.58,0.83,0.79,0.54,0.78,0.43,0.5,0.67,0.8,0.37
re2c.csv,0.39,1.0,0.57,0.38,0.31,0.35,0.64,0.31,0.76,0.27
rebecca-aiml.csv,0.46,0.67,0.79,0.85,0.85,0.61,0.93,0.43,0.81,0.6
xfce.csv,0.61,0.5,0.71,0.54,0.61,0.87,0.79,0.7,0.67,0.83
