,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.65,0.36,0.59,0.85,0.79,0.79,0.66,0.68,0.75,0.33
aubit4gl.csv,0.97,0.68,0.73,0.87,0.53,0.93,0.66,0.9,0.57,0.97
liferea.csv,0.68,0.94,0.54,0.43,0.87,0.64,0.77,0.57,0.83,0.87
moving-pictures.csv,0.57,0.6,0.64,0.94,0.75,0.83,0.45,0.91,0.76,0.71
opensim4opencog.csv,0.53,0.92,0.5,0.46,0.85,0.48,0.64,0.51,0.63,0.58
plearn.csv,0.5,0.8,0.56,0.7,0.99,0.71,0.8,0.76,0.83,0.77
psrchive.csv,0.52,0.2,0.3,0.71,0.64,0.75,0.65,0.73,0.48,0.68
re2c.csv,0.66,0.02,0.67,0.69,0.72,0.86,0.68,0.74,0.54,0.88
rebecca-aiml.csv,0.66,0.58,0.65,0.77,0.7,0.68,0.87,0.61,0.24,0.53
xfce.csv,0.64,0.93,0.64,0.56,0.83,0.82,0.8,0.52,0.61,0.75
