,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.42,0.8,0.48,0.18,0.26,0.26,0.46,0.39,0.4,0.73
aubit4gl.csv,0.04,0.38,0.33,0.18,0.67,0.2,0.41,0.16,0.69,0.04
liferea.csv,0.62,0.2,0.67,0.69,0.23,0.44,0.29,0.6,0.23,0.2
moving-pictures.csv,0.56,0.53,0.6,0.1,0.34,0.2,0.64,0.11,0.28,0.35
opensim4opencog.csv,0.63,0.34,0.73,0.81,0.47,0.63,0.49,0.58,0.47,0.55
plearn.csv,0.64,0.36,0.62,0.36,0.02,0.39,0.41,0.28,0.26,0.36
psrchive.csv,0.6,0.84,0.79,0.52,0.66,0.44,0.51,0.57,0.74,0.41
re2c.csv,0.43,1.0,0.55,0.42,0.35,0.36,0.58,0.35,0.7,0.3
rebecca-aiml.csv,0.49,0.64,0.66,0.57,0.63,0.57,0.42,0.47,0.82,0.61
xfce.csv,0.58,0.4,0.63,0.56,0.49,0.51,0.53,0.67,0.62,0.59
