,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.49,0.24,0.38,0.67,0.67,0.18,0.55,0.82,0.27,0.52
aubit4gl.csv,0.4,0.22,0.25,0.18,0.64,0.05,0.71,0.57,0.38,0.17
liferea.csv,0.32,0.04,0.23,0.41,0.39,0.22,0.54,0.77,0.34,0.13
moving-pictures.csv,0.41,0.15,0.18,0.11,0.57,0.17,0.71,0.88,0.93,0.35
opensim4opencog.csv,0.4,0.06,0.24,0.38,0.53,0.24,0.54,0.84,0.4,0.26
plearn.csv,0.43,0.08,0.22,0.5,0.17,0.15,0.41,0.88,0.24,0.17
psrchive.csv,0.43,0.45,0.41,0.23,0.59,0.11,0.52,0.7,0.43,0.26
re2c.csv,0.4,0.86,0.17,0.26,0.63,0.08,0.5,0.73,0.39,0.11
rebecca-aiml.csv,0.33,0.14,0.19,0.25,0.58,0.13,0.49,0.82,0.69,0.28
xfce.csv,0.32,0.07,0.19,0.33,0.49,0.13,0.48,0.79,0.35,0.21
