,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.26,0.32,0.07,0.09,0.39,0.49,0.16,0.0,0.15,0.04,0.93
fceugc.csv,0.38,0.48,0.27,0.63,0.51,0.31,0.66,0.33,0.15,0.55,0.7
flexpay.csv,0.26,0.46,0.37,0.2,0.21,0.57,0.51,0.52,0.15,0.53,0.14
jstock.csv,0.1,0.56,0.26,0.32,0.27,0.31,0.44,0.73,0.15,0.45,0.56
keyczar.csv,0.05,0.26,0.02,0.22,0.18,0.18,0.2,0.12,0.28,0.78,0.29
modellus.csv,0.19,0.65,0.31,0.47,0.61,0.78,0.77,0.38,0.31,0.3,0.17
open-data-kit.csv,0.29,0.65,0.27,0.5,0.5,0.67,0.77,0.55,0.26,0.44,0.83
phet.csv,0.51,0.49,0.09,0.24,0.23,0.27,0.53,0.31,0.19,0.87,0.46
qtractor.csv,0.15,0.75,0.3,0.5,0.59,0.73,0.69,0.46,0.29,0.0,0.47
sumatrapdf.csv,0.36,0.72,0.3,0.49,0.73,0.68,0.78,0.38,0.37,0.44,0.81
synergyspace.csv,0.27,0.36,0.29,0.32,0.59,0.59,0.53,0.31,0.42,0.45,0.08
