,pclasses.csv,re2c.csv,thrust.csv,k3b.csv,clamav.csv,acdk.csv,kindb.csv
acdk.csv,0.2,0.37,0.25,0.56,0.18,0.7,0.62
clamav.csv,0.29,0.09,0.31,0.67,0.7,0.55,0.82
k3b.csv,0.25,0.13,0.35,0.71,0.53,0.6,0.81
kindb.csv,0.23,0.29,0.37,0.61,0.0,0.61,0.84
pclasses.csv,0.55,0.0,0.0,0.03,0.51,0.28,0.11
re2c.csv,0.18,0.92,0.1,0.46,0.33,0.18,0.06
thrust.csv,0.13,0.25,0.46,0.42,0.11,0.19,0.15
