,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,bscwweasel.csv,retromenu.csv,capcode.csv,botsnscouts.csv,nodal.csv,st-filteredstatistics.csv,lcfizvtop.csv,avisynth2.csv,powerfolder.csv,bzbyte.csv,mediaportal.csv,emite.csv,duplicati.csv,uface.csv
avisynth2.csv,0.0,0.0,0.05,0.0,0.0,0.05,0.04,0.01,0.11,0.03,0.0,0.02,0.05,0.02,0.06,0.39,0.02,0.0,0.04
botsnscouts.csv,0.26,0.91,0.33,0.29,0.59,0.42,0.98,0.92,0.22,0.75,0.31,0.1,0.48,0.64,0.61,0.48,0.45,0.0,0.15
bscwweasel.csv,0.33,0.0,0.43,0.29,0.29,0.2,0.31,0.34,0.15,0.22,0.0,0.35,0.79,0.12,0.22,0.41,0.32,0.0,0.15
bzbyte.csv,0.73,0.0,0.0,1.0,0.65,0.81,1.0,0.79,0.7,1.0,1.0,1.0,1.0,0.98,0.33,0.0,1.0,1.0,1.0
capcode.csv,0.82,0.03,0.76,0.35,0.53,0.79,0.31,0.31,0.52,0.67,0.69,0.62,0.73,0.87,0.44,0.69,0.62,1.0,0.33
emite.csv,0.41,0.8,0.1,0.42,0.29,0.25,0.36,0.56,0.33,0.1,0.62,0.4,0.39,0.04,0.28,0.4,0.45,0.0,0.07
fbmanager.csv,0.1,0.09,0.1,0.19,0.18,0.1,0.29,0.46,0.19,0.19,0.38,0.42,0.81,0.35,0.22,0.0,0.05,0.0,0.07
lcfizvtop.csv,0.36,0.01,0.57,0.19,0.65,0.3,0.71,0.45,0.52,0.73,0.69,0.33,0.18,0.37,0.44,0.7,0.32,0.0,0.11
mediaportal.csv,0.11,0.37,0.33,0.0,0.12,0.3,0.38,0.28,0.22,0.06,0.23,0.15,0.16,0.06,0.0,0.26,0.05,0.0,0.02
nodal.csv,0.15,0.0,0.19,0.06,0.71,0.26,0.42,0.25,0.04,0.14,0.23,0.08,0.16,0.28,0.11,0.46,0.08,0.0,0.11
paintown.csv,0.19,1.0,0.57,0.58,0.94,0.99,0.93,1.0,1.0,0.94,1.0,0.56,0.95,0.93,0.5,0.59,0.8,1.0,1.0
powerfolder.csv,0.18,0.76,0.1,0.39,0.53,0.52,0.47,0.59,0.11,0.37,0.15,0.27,0.24,0.1,0.33,0.22,0.08,0.0,0.39
retromenu.csv,0.0,0.1,0.1,0.13,0.12,0.19,0.18,0.39,0.15,0.1,0.08,0.15,0.03,0.07,0.22,0.21,0.1,0.0,0.0
smbopensoft.csv,0.85,0.2,0.86,0.29,0.71,0.65,0.87,0.52,0.85,0.6,1.0,0.48,0.9,0.77,0.78,0.95,0.8,1.0,0.17
sqlpower-library.csv,0.97,0.98,0.76,0.87,0.29,0.7,0.6,0.8,1.0,0.75,0.85,1.0,1.0,0.74,0.72,1.0,0.82,1.0,0.33
st-filteredstatistics.csv,0.41,0.96,0.86,0.77,0.94,0.62,0.96,0.79,0.56,0.97,0.15,0.79,0.48,0.88,0.72,0.87,0.62,1.0,0.93
triplea.csv,0.44,0.9,0.29,0.39,0.71,0.82,1.0,0.76,0.85,0.86,0.77,0.4,0.84,0.79,0.67,0.77,0.8,1.0,0.76
uface.csv,0.7,1.0,0.9,0.77,0.47,0.56,0.76,0.68,0.93,0.49,0.92,0.67,1.0,0.74,0.78,0.88,0.57,1.0,0.04
