,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,91.5,81.5,4442.5,1867.0,91.5,217.5,97.5,197.5,97.5,285.5,95.5
gdis.csv,99.0,911.5,2395.5,4435.0,99.0,486.0,97.5,98.5,98.5,1251.0,560.5
genoviz.csv,61.5,81.5,297.5,548.0,190.0,9.5,0.0,175.0,150.0,189.0,95.5
kml.csv,91.5,1364.0,4274.5,6740.0,99.0,587.0,97.5,98.5,97.5,384.0,194.0
omseek.csv,0.0,81.5,0.0,424.5,99.0,193.5,64.5,43.5,47.5,159.0,95.5
ossbuild.csv,91.5,549.5,869.0,3328.5,99.0,292.5,158.0,443.5,88.5,413.5,95.5
popeye-chess.csv,186.0,361.0,3284.0,3291.5,99.0,1017.5,95.5,98.5,94.5,413.5,273.5
quarkplayer.csv,179.0,718.0,2389.5,1872.5,99.0,1159.5,97.5,197.5,96.5,785.0,357.5
turbotrader-bos.csv,91.5,179.0,1770.5,1326.0,480.5,452.5,97.5,98.5,94.5,690.0,180.0
virtuoso.csv,99.0,1817.5,2822.0,7119.0,99.0,782.0,97.5,188.0,98.5,2056.0,194.0
zscreen.csv,186.0,358.0,2067.0,6799.5,99.0,94.5,91.5,98.5,88.5,414.5,194.0
