,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,1.0,0.92,0.07,0.07,0.56,0.26,0.75,0.24,0.97,0.42,0.26
gdis.csv,0.8,0.53,0.14,0.1,0.39,0.12,0.56,0.21,0.98,0.17,0.15
genoviz.csv,1.0,1.0,0.14,0.08,0.62,1.0,0.0,0.75,0.67,0.35,0.56
kml.csv,0.77,0.53,0.08,0.06,0.34,0.14,0.76,0.26,0.88,0.13,0.1
omseek.csv,0.0,0.8,0.0,0.11,0.47,0.29,1.0,0.6,1.0,0.26,0.33
ossbuild.csv,0.81,0.63,0.32,0.09,0.51,0.18,0.4,0.43,0.89,0.22,0.12
popeye-chess.csv,0.72,0.69,0.08,0.07,0.48,0.17,0.71,0.29,0.93,0.14,0.17
quarkplayer.csv,0.5,0.5,0.11,0.15,0.35,0.09,0.48,0.13,0.95,0.15,0.0
turbotrader-bos.csv,0.88,0.81,0.09,0.09,0.61,0.31,0.89,0.27,1.0,0.15,0.11
virtuoso.csv,0.62,0.44,0.12,0.06,0.35,0.11,0.49,0.43,0.81,0.14,0.11
zscreen.csv,0.9,0.62,0.28,0.07,0.37,0.15,0.82,0.29,0.95,0.2,0.17
