,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.26,0.36,0.36,0.31,0.56,0.31,0.75,0.57,0.64,0.89,0.92
gdis.csv,0.4,0.68,0.6,0.73,0.63,0.55,0.62,0.46,0.84,0.45,0.44
genoviz.csv,0.09,0.24,0.04,0.11,0.31,0.04,0.0,0.25,0.05,0.54,0.98
kml.csv,0.65,0.68,0.32,0.43,0.3,0.61,0.78,0.5,0.64,0.42,0.0
omseek.csv,0.0,0.13,0.0,0.11,0.48,0.69,0.04,0.09,0.06,0.46,0.8
ossbuild.csv,0.65,0.83,0.71,0.66,0.66,0.66,0.07,0.43,0.34,0.37,0.66
popeye-chess.csv,0.53,0.7,0.28,0.47,0.66,0.4,0.51,0.57,0.69,0.29,0.61
quarkplayer.csv,0.11,0.55,0.41,0.79,0.48,0.31,0.56,0.28,0.4,0.2,0.0
turbotrader-bos.csv,0.35,0.54,0.14,0.31,0.7,0.38,0.49,0.37,0.38,0.45,0.56
virtuoso.csv,0.0,0.49,0.43,0.3,0.53,0.05,0.21,0.56,0.0,0.55,0.38
zscreen.csv,0.81,0.5,0.7,0.33,0.61,0.6,0.29,0.23,0.37,0.67,0.8
