,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.31,0.28,0.5,0.19,0.31,0.25,0.02,0.0,0.01,0.01,0.11,0.01,0.46,0.65
crux-framework.csv,0.47,0.25,0.04,0.41,0.08,0.8,0.75,0.18,0.52,0.09,0.32,0.19,0.09,0.16
etherboot.csv,0.01,0.12,0.0,0.03,0.31,0.08,0.67,0.26,1.0,1.0,0.03,0.0,0.76,0.97
freebios.csv,0.72,0.15,0.38,0.62,0.49,0.28,0.22,0.79,0.32,0.7,0.76,0.42,0.65,0.29
gebr.csv,0.89,1.0,0.96,0.94,0.84,0.95,1.0,0.21,0.89,0.99,0.81,0.97,1.0,1.0
gnukeda.csv,0.73,0.2,0.54,0.25,0.51,0.25,0.37,0.03,0.11,0.44,0.84,0.01,0.73,0.84
google-gears.csv,0.48,0.84,0.6,0.31,0.77,0.98,0.88,0.76,0.96,0.57,0.32,0.57,0.59,0.97
gstreamer.csv,0.69,0.92,0.63,0.38,0.77,0.86,0.78,0.18,0.74,0.73,0.57,0.24,0.93,1.0
jnode.csv,0.05,0.31,0.2,0.5,0.1,0.1,0.06,0.74,0.05,0.05,0.27,0.06,0.21,0.06
metacosm.csv,0.13,0.4,0.41,0.12,0.18,0.08,0.1,0.03,0.22,0.38,0.05,0.05,0.3,0.23
openmeetings.csv,0.16,0.16,0.34,0.03,0.54,0.34,0.02,0.05,0.47,0.09,0.14,0.1,0.3,0.32
pgui.csv,0.55,0.84,0.0,0.31,0.75,0.75,0.25,0.29,0.26,0.73,0.35,0.0,0.98,1.0
tradelink.csv,0.19,0.66,0.77,0.41,0.79,0.8,0.61,0.39,0.8,0.3,0.27,0.79,0.54,0.61
wxcrp.csv,0.28,0.9,0.94,0.81,1.0,0.7,0.86,1.0,0.89,0.45,0.68,0.8,0.65,0.9
