,owfs.csv,utgb.csv,chipster.csv,sidekar.csv,jgnash.csv,jsr308-langtools.csv,continuum-ide.csv,azureus.csv,ctrlr.csv,jppf-project.csv,stemkit.csv,galaxium.csv,ingex.csv,itext.csv,octet.csv,lite.csv,bzbyte.csv,carabiner.csv,tigermud.csv,ta3d.csv
azureus.csv,0.36,0.26,0.47,0.53,0.37,0.61,0.6,0.95,0.09,0.87,0.12,0.61,0.06,0.66,0.19,0.39,0.47,0.36,0.33,0.27
bzbyte.csv,0.27,0.5,0.56,0.74,0.23,0.75,0.41,0.45,0.36,0.91,0.11,0.45,0.37,0.6,0.21,0.42,0.99,0.44,0.71,0.76
carabiner.csv,0.3,0.68,0.56,0.62,0.4,0.8,0.54,0.44,0.18,0.77,0.15,0.48,0.56,0.71,0.22,0.6,0.71,1.0,0.53,0.54
chipster.csv,0.3,0.33,0.99,0.51,0.34,0.52,0.47,0.37,0.12,0.62,0.0,0.56,0.06,0.61,0.22,0.28,0.4,0.33,0.42,0.52
continuum-ide.csv,0.26,0.45,0.26,0.21,0.26,0.57,0.97,0.48,0.0,0.56,0.0,0.16,0.17,0.69,0.0,0.1,0.22,0.16,0.31,0.28
ctrlr.csv,0.0,0.0,0.08,0.06,0.0,0.0,0.0,0.0,0.95,0.08,0.11,0.1,0.0,0.05,0.0,0.0,0.07,0.0,0.06,0.1
galaxium.csv,0.36,0.57,0.39,0.51,0.36,0.78,0.35,0.52,0.0,0.48,0.14,0.96,0.2,0.5,0.3,0.38,0.42,0.17,0.14,0.15
ingex.csv,0.17,0.35,0.23,0.56,0.44,0.51,0.29,0.38,0.47,0.21,0.25,0.38,0.98,0.53,0.44,0.42,0.24,0.07,0.19,0.35
itext.csv,0.25,0.39,0.41,0.53,0.42,0.55,0.45,0.49,0.28,0.46,0.0,0.5,0.17,0.99,0.21,0.46,0.54,0.25,0.24,0.41
jgnash.csv,0.09,0.1,0.17,0.16,0.96,0.12,0.23,0.24,0.13,0.28,0.25,0.38,0.13,0.48,0.0,0.37,0.22,0.28,0.15,0.36
jppf-project.csv,0.24,0.62,0.54,0.78,0.26,0.73,0.47,0.42,0.42,1.0,0.14,0.46,0.51,0.69,0.22,0.45,0.67,0.47,0.75,0.81
jsr308-langtools.csv,0.31,0.55,0.52,0.56,0.31,1.0,0.5,0.51,0.31,0.77,0.08,0.51,0.51,0.71,0.35,0.48,0.53,0.4,0.46,0.62
lite.csv,0.0,0.16,0.16,0.06,0.07,0.18,0.23,0.21,0.0,0.06,0.0,0.27,0.0,0.11,0.0,0.93,0.19,0.0,0.1,0.06
octet.csv,0.33,0.48,0.27,0.43,0.12,0.63,0.4,0.42,0.15,0.51,0.1,0.26,0.34,0.55,0.92,0.52,0.15,0.18,0.48,0.22
owfs.csv,0.91,0.5,0.37,0.28,0.1,0.54,0.51,0.4,0.07,0.23,0.13,0.4,0.56,0.57,0.36,0.43,0.53,0.08,0.62,0.15
sidekar.csv,0.4,0.54,0.53,0.99,0.36,0.87,0.53,0.48,0.18,0.8,0.14,0.54,0.63,0.61,0.25,0.54,0.56,0.44,0.52,0.65
stemkit.csv,0.0,0.15,0.05,0.03,0.05,0.0,0.0,0.0,0.26,0.02,0.91,0.09,0.23,0.0,0.0,0.0,0.0,0.07,0.0,0.23
ta3d.csv,0.29,0.64,0.59,0.73,0.26,0.78,0.39,0.41,0.42,0.76,0.16,0.42,0.57,0.59,0.21,0.4,0.84,0.4,0.79,0.99
tigermud.csv,0.0,0.64,0.48,0.6,0.29,0.68,0.44,0.33,0.25,0.86,0.15,0.31,0.55,0.5,0.21,0.39,0.84,0.46,0.96,0.27
utgb.csv,0.26,1.0,0.4,0.26,0.18,0.58,0.54,0.48,0.33,0.36,0.0,0.32,0.38,0.47,0.53,0.33,0.51,0.5,0.3,0.36
