,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.68,0.75,1.1,0.78,0.96,0.56,1.03,0.7,0.74,0.55,0.07,0.9,0.9,0.65
baadengine.csv,0.02,1.02,0.46,0.73,0.38,0.6,0.47,0.53,0.63,0.48,0.94,0.85,0.61,0.54
bnetd.csv,0.63,1.07,1.08,0.67,0.85,0.71,0.05,0.68,0.91,0.38,0.71,0.7,0.71,0.62
impala.csv,0.83,0.91,0.94,0.92,0.8,0.83,0.8,0.95,0.77,0.98,1.0,0.16,0.64,0.84
jaxen.csv,0.99,0.99,1.0,0.96,0.97,0.0,1.0,0.82,1.0,0.77,0.95,0.96,1.0,1.0
jgameai.csv,0.94,0.96,1.01,0.08,0.94,1.0,0.97,0.92,1.02,0.9,0.93,0.81,1.0,0.91
jparsec.csv,0.78,0.91,0.5,0.52,0.97,0.8,0.73,0.76,1.0,0.62,0.93,0.69,0.88,0.04
motu.csv,0.75,0.84,1.0,0.9,0.88,0.45,0.97,0.68,0.73,0.02,0.6,0.93,1.02,0.85
vars-redux.csv,0.78,1.03,1.02,0.89,0.64,0.41,0.9,0.02,1.0,0.52,0.82,0.92,0.74,0.75
werx.csv,1.0,0.0,0.98,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,0.99
wishmaster.csv,0.6,0.85,1.01,0.89,0.97,0.6,0.64,0.76,0.14,0.82,0.82,0.86,0.66,0.81
xreal.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.96,0.0,1.0
zealos.csv,0.69,1.13,0.26,0.84,0.07,0.44,0.77,0.7,0.76,0.62,0.66,0.9,0.9,0.65
