,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.74,0.4,0.0,0.34,0.2,0.18,0.23,0.47,0.24,0.42,0.95,0.09,0.03,0.45
baadengine.csv,0.99,0.87,0.04,0.32,0.64,0.17,0.66,0.64,0.34,0.47,0.54,0.22,0.07,0.56
bnetd.csv,0.76,0.75,0.0,0.38,0.21,0.12,0.97,0.53,0.12,0.54,0.5,0.23,0.06,0.55
impala.csv,0.54,0.22,0.02,0.44,0.29,0.09,0.51,0.36,0.26,0.37,0.48,0.91,0.07,0.53
jaxen.csv,0.01,0.08,0.0,0.06,0.06,1.0,0.0,0.29,0.0,0.33,0.09,0.07,0.0,0.0
jgameai.csv,0.29,0.14,0.0,0.94,0.46,0.0,0.05,0.14,0.0,0.14,0.14,0.19,0.0,0.15
jparsec.csv,0.8,0.39,0.04,0.5,0.21,0.13,0.61,0.4,0.31,0.38,0.46,0.21,0.06,0.98
motu.csv,0.61,0.28,0.0,0.16,0.19,0.24,0.05,0.43,0.3,0.96,0.51,0.08,0.0,0.23
vars-redux.csv,0.54,0.44,0.0,0.17,0.49,0.21,0.18,0.99,0.0,0.43,0.29,0.08,0.05,0.35
werx.csv,0.86,1.0,0.02,0.45,0.47,0.11,0.65,0.58,0.31,0.36,0.58,0.22,0.05,0.57
wishmaster.csv,0.63,0.26,0.0,0.2,0.06,0.31,0.51,0.37,0.92,0.23,0.29,0.13,0.07,0.28
xreal.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.08,1.0,0.0
zealos.csv,0.68,0.64,0.07,0.23,0.97,0.2,0.36,0.43,0.24,0.36,0.52,0.1,0.02,0.46
