,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.12,0.25,0.21,0.83,0.06,0.56,0.64,0.77,0.3,0.0,0.57,0.13,0.04,0.13,0.45,1.0
chipster.csv,0.04,0.15,0.61,0.34,0.32,0.63,0.49,0.44,0.62,0.23,0.34,0.16,0.16,0.23,0.67,1.0
delphilhlplib.csv,0.24,0.55,0.56,0.79,0.09,0.53,0.09,0.4,0.38,0.77,0.17,0.45,0.29,0.27,0.27,0.0
emite.csv,0.08,0.51,0.48,0.81,0.05,0.05,0.3,0.31,0.23,0.62,0.23,0.68,0.13,0.17,0.3,0.0
hydrate.csv,0.04,0.36,0.32,0.23,0.88,0.03,0.36,0.14,0.4,0.69,0.51,0.35,0.18,0.53,0.61,1.0
ivataopenportal.csv,0.48,0.85,0.95,0.92,0.76,0.98,0.82,0.93,0.89,1.0,0.69,0.81,0.36,0.9,0.73,1.0
jppf-project.csv,0.72,0.75,0.74,0.43,0.39,0.68,0.78,0.57,0.6,0.62,0.74,0.94,0.41,0.6,0.88,1.0
kolmafia.csv,1.0,0.94,0.79,0.4,0.98,0.95,0.87,0.85,0.7,1.0,1.0,0.71,0.73,0.83,0.76,1.0
l2j.csv,0.56,0.84,0.59,1.0,0.14,0.47,0.51,0.35,0.57,1.0,0.43,0.71,0.74,0.57,0.3,0.0
mb-unit.csv,0.88,0.7,0.92,0.89,0.98,0.92,0.97,0.89,1.0,0.31,0.46,0.29,0.83,0.83,0.91,1.0
opde.csv,0.64,0.69,0.7,0.94,0.46,0.27,0.61,0.6,0.89,0.77,0.43,0.39,0.42,0.77,0.94,0.0
pamguard.csv,0.12,0.45,0.53,0.94,0.29,0.75,0.49,0.71,0.4,0.85,0.63,0.42,0.15,0.33,0.3,1.0
quark.csv,0.04,0.08,0.05,0.17,0.04,0.07,0.0,0.04,0.06,0.85,0.14,0.35,0.15,0.13,0.09,0.0
stajistics.csv,0.72,0.51,0.92,0.92,0.52,0.93,0.89,0.83,1.0,0.31,0.57,0.39,0.67,0.57,1.0,1.0
tigermud.csv,0.36,0.56,0.3,0.72,0.99,0.25,0.59,0.67,0.53,0.23,0.6,0.77,0.56,0.63,0.45,1.0
