,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.15,0.29,0.25,0.53,0.07,0.55,0.56,0.68,0.34,0.0,0.5,0.16,0.05,0.16,0.47,0.59
chipster.csv,0.05,0.18,0.62,0.39,0.36,0.55,0.54,0.47,0.64,0.27,0.37,0.19,0.19,0.27,0.65,0.83
delphilhlplib.csv,0.28,0.56,0.54,0.76,0.11,0.52,0.11,0.44,0.42,0.74,0.2,0.48,0.33,0.31,0.31,0.0
emite.csv,0.1,0.5,0.48,0.67,0.06,0.06,0.33,0.35,0.27,0.53,0.27,0.7,0.16,0.2,0.34,0.0
hydrate.csv,0.05,0.4,0.36,0.27,0.24,0.04,0.41,0.17,0.45,0.65,0.5,0.39,0.21,0.56,0.6,0.81
ivataopenportal.csv,0.5,0.56,0.17,0.63,0.74,0.33,0.38,0.37,0.41,0.67,0.54,0.56,0.41,0.68,0.54,0.13
jppf-project.csv,0.66,0.42,0.56,0.48,0.42,0.58,0.8,0.52,0.6,0.46,0.32,0.54,0.44,0.59,0.54,0.81
kolmafia.csv,0.09,0.44,0.63,0.44,0.17,0.13,0.58,0.46,0.71,0.36,0.36,0.59,0.64,0.47,0.65,0.13
l2j.csv,0.54,0.55,0.55,0.0,0.17,0.48,0.48,0.38,0.58,0.41,0.45,0.59,0.72,0.53,0.34,0.0
mb-unit.csv,0.46,0.66,0.59,0.0,0.09,0.32,0.0,0.55,0.0,0.35,0.49,0.33,0.52,0.75,0.0,0.0
opde.csv,0.66,0.56,0.62,0.0,0.49,0.31,0.47,0.57,0.45,0.56,0.47,0.43,0.45,0.69,0.62,0.0
pamguard.csv,0.14,0.49,0.5,0.37,0.33,0.72,0.51,0.59,0.45,0.23,0.19,0.43,0.18,0.36,0.33,0.51
quark.csv,0.05,0.1,0.06,0.2,0.05,0.09,0.0,0.05,0.07,0.83,0.17,0.39,0.18,0.16,0.11,0.0
stajistics.csv,0.47,0.53,0.64,0.24,0.52,0.51,0.0,0.45,0.0,0.33,0.5,0.42,0.6,0.6,0.0,0.0
tigermud.csv,0.39,0.48,0.34,0.73,0.05,0.29,0.46,0.38,0.55,0.26,0.62,0.54,0.47,0.61,0.48,0.76
