,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.6,0.94,0.44,0.76,0.5,0.67,0.92,0.91,0.64,0.0,0.59,0.31,0.78,0.27,0.65,0.01
chipster.csv,1.0,0.96,0.53,0.86,0.58,0.64,0.98,0.91,0.72,0.23,0.57,0.71,0.86,0.58,0.73,0.02
delphilhlplib.csv,0.67,0.89,0.43,0.88,0.38,0.65,1.0,0.92,0.67,0.36,0.55,0.54,0.74,0.35,0.69,0.0
emite.csv,1.0,0.85,0.4,0.8,0.75,0.6,0.9,0.88,0.5,0.19,0.62,0.7,0.76,0.33,0.62,0.0
hydrate.csv,0.33,0.89,0.43,1.0,0.5,1.0,1.0,0.93,0.79,0.27,0.62,0.5,0.66,0.48,0.71,0.02
ivataopenportal.csv,0.39,0.87,0.41,0.79,0.72,0.66,0.91,0.88,0.55,0.26,0.62,0.45,0.83,0.38,0.63,0.01
jppf-project.csv,0.44,0.84,0.42,0.88,0.52,0.66,0.99,0.87,0.64,0.17,0.58,0.48,0.72,0.36,0.66,0.02
kolmafia.csv,0.36,0.87,0.46,0.84,0.52,0.64,0.93,0.88,0.77,0.22,0.65,0.46,0.77,0.3,0.69,0.01
l2j.csv,0.38,0.87,0.41,0.75,0.64,0.65,0.9,0.87,0.64,0.22,0.6,0.46,0.85,0.3,0.77,0.0
mb-unit.csv,0.37,0.9,0.46,0.72,0.51,0.64,0.92,0.89,0.55,0.19,0.67,0.5,0.73,0.44,0.61,0.01
opde.csv,0.59,0.86,0.45,0.74,0.6,0.67,0.9,0.89,0.56,0.21,0.71,0.5,0.73,0.39,0.69,0.0
pamguard.csv,0.16,0.92,0.38,0.76,0.54,0.77,0.94,0.89,0.79,0.18,0.52,0.38,0.69,0.25,0.53,0.01
quark.csv,0.33,0.75,0.43,0.69,0.67,0.8,0.0,1.0,0.75,0.48,1.0,0.58,0.83,0.36,0.75,0.0
stajistics.csv,0.33,0.89,0.47,0.74,0.54,0.67,0.91,0.88,0.55,0.12,0.59,0.46,0.75,0.49,0.63,0.01
tigermud.csv,0.33,0.83,0.42,0.9,0.51,0.75,0.9,0.85,0.62,0.12,0.78,0.44,0.67,0.38,0.71,0.02
