,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.66,0.78,0.91,0.76,0.79,0.6,0.74,0.08,0.7,0.5
electric-core.csv,0.48,0.11,0.5,0.62,0.76,0.54,0.77,0.87,0.7,0.62
jahshakafx.csv,0.04,0.66,0.6,0.77,0.84,0.73,0.81,0.81,0.69,0.65
jython.csv,0.67,0.54,0.0,0.92,0.72,0.86,0.79,0.84,0.92,0.8
kftpgrabber.csv,0.49,0.61,0.33,0.57,0.86,0.58,0.76,0.76,0.0,0.7
mvnforum.csv,0.94,0.97,0.73,0.9,0.02,0.84,0.97,0.94,0.38,0.8
openmalaria.csv,0.38,0.55,0.26,0.42,0.83,0.55,0.05,0.61,0.57,0.51
plplot.csv,0.63,0.68,0.99,0.89,0.96,0.19,0.64,0.97,0.73,0.86
popeye-chess.csv,0.47,0.46,0.97,0.09,0.69,0.6,0.42,0.59,0.47,0.57
zxing.csv,0.38,0.58,0.5,0.6,0.74,0.7,0.56,0.94,0.67,0.0
