,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.41,0.23,0.09,0.26,0.33,0.43,0.26,0.94,0.37,0.54
electric-core.csv,0.56,0.89,0.5,0.4,0.33,0.52,0.26,0.17,0.47,0.39
jahshakafx.csv,0.96,0.36,0.41,0.23,0.28,0.29,0.21,0.19,0.33,0.38
jython.csv,0.74,0.59,1.0,0.89,0.67,0.81,0.79,0.31,0.77,0.62
kftpgrabber.csv,0.56,0.44,0.68,0.43,0.17,0.43,0.24,0.31,1.0,0.32
mvnforum.csv,0.15,0.05,0.27,0.63,1.0,0.43,0.05,0.08,0.63,0.23
openmalaria.csv,0.91,0.68,0.77,0.66,0.83,0.71,0.95,0.81,0.77,0.8
plplot.csv,0.8,0.83,0.95,1.0,0.94,0.81,0.81,0.81,0.97,0.77
popeye-chess.csv,0.66,0.65,0.73,0.91,0.61,0.43,0.67,0.47,0.63,0.43
zxing.csv,0.79,0.45,0.5,0.4,0.56,0.33,0.5,0.42,0.63,1.0
