,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.45,0.27,0.11,0.3,0.36,0.47,0.3,0.94,0.41,0.58
electric-core.csv,0.6,0.91,0.55,0.45,0.37,0.55,0.3,0.2,0.48,0.44
jahshakafx.csv,0.97,0.41,0.46,0.27,0.31,0.33,0.25,0.23,0.38,0.43
jython.csv,0.62,0.6,1.0,0.32,0.57,0.45,0.54,0.34,0.35,0.51
kftpgrabber.csv,0.59,0.48,0.72,0.48,0.2,0.48,0.28,0.35,1.0,0.36
mvnforum.csv,0.18,0.06,0.32,0.42,1.0,0.42,0.06,0.1,0.67,0.27
openmalaria.csv,0.84,0.65,0.79,0.68,0.48,0.66,0.96,0.68,0.69,0.73
plplot.csv,0.67,0.64,0.05,0.38,0.21,0.84,0.67,0.2,0.64,0.47
popeye-chess.csv,0.66,0.66,0.25,0.92,0.56,0.47,0.68,0.51,0.64,0.48
zxing.csv,0.77,0.49,0.55,0.45,0.52,0.37,0.54,0.37,0.58,1.0
