,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.4,0.29,0.14,0.36,0.28,0.44,0.39,0.96,0.37,0.67
electric-core.csv,0.56,0.92,0.56,0.51,0.3,0.47,0.34,0.26,0.39,0.55
jahshakafx.csv,0.97,0.36,0.38,0.36,0.24,0.34,0.29,0.32,0.4,0.52
jython.csv,0.47,0.41,1.0,0.58,0.41,0.4,0.58,0.39,0.43,0.68
kftpgrabber.csv,0.55,0.38,0.6,0.59,0.19,0.49,0.38,0.42,1.0,0.47
mvnforum.csv,0.14,0.06,0.33,0.47,0.97,0.28,0.08,0.14,0.68,0.36
openmalaria.csv,0.66,0.41,0.59,0.67,0.43,0.48,0.98,0.76,0.54,0.83
plplot.csv,0.5,0.39,0.22,0.64,0.44,0.87,0.64,0.7,0.56,0.76
popeye-chess.csv,0.55,0.47,0.18,0.94,0.41,0.44,0.67,0.59,0.57,0.59
zxing.csv,0.63,0.43,0.61,0.55,0.37,0.35,0.55,0.46,0.45,1.0
