,twostep.csv,gpsmid.csv,rsyslog.csv,botsnscouts.csv,libtorrent.csv,plplot.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.37,0.84,0.71,0.76,0.92,0.43,0.43,0.4,0.34
gpsmid.csv,0.42,0.83,0.52,0.58,0.83,0.26,0.62,0.42,0.29
libtorrent.csv,0.35,0.63,0.54,0.56,0.92,0.28,0.48,0.36,0.27
magicwars.csv,0.37,0.66,0.52,0.48,0.84,0.27,0.81,0.35,0.26
plplot.csv,0.36,0.69,0.56,0.53,1.0,0.55,0.87,0.45,0.31
rsyslog.csv,0.29,0.7,0.79,0.61,0.86,0.42,0.37,0.38,0.39
turbotrader-bos.csv,0.47,0.91,0.73,0.86,0.94,0.67,0.71,0.59,0.39
twostep.csv,0.74,0.71,0.73,0.65,1.0,0.44,0.37,0.41,0.32
xmemcached.csv,0.32,0.61,0.51,0.56,0.8,0.21,0.32,0.33,0.5
