,twostep.csv,gpsmid.csv,rsyslog.csv,botsnscouts.csv,libtorrent.csv,plplot.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.96,0.43,0.58,0.7,0.69,0.57,0.54,0.87,0.83
gpsmid.csv,0.96,0.82,1.0,0.67,0.66,0.86,0.5,0.94,0.87
libtorrent.csv,0.88,0.86,0.96,0.56,0.72,0.71,0.73,0.91,0.83
magicwars.csv,1.0,0.94,1.0,0.81,1.0,1.0,0.64,0.93,0.78
plplot.csv,0.81,0.63,0.96,0.67,0.38,0.57,0.42,0.56,0.65
rsyslog.csv,0.58,0.61,0.85,0.63,0.88,0.48,0.39,0.94,0.65
turbotrader-bos.csv,0.92,0.59,0.42,0.22,0.48,0.38,0.32,0.68,0.7
twostep.csv,0.88,0.82,0.42,0.81,0.44,0.57,0.84,0.84,0.87
xmemcached.csv,0.81,0.78,0.92,0.85,0.46,0.33,0.56,0.93,0.65
