,twostep.csv,gpsmid.csv,rsyslog.csv,botsnscouts.csv,libtorrent.csv,plplot.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.54,0.57,0.64,0.73,0.79,0.49,0.48,0.55,0.48
gpsmid.csv,0.59,0.82,0.68,0.62,0.74,0.4,0.56,0.58,0.43
libtorrent.csv,0.51,0.72,0.69,0.56,0.81,0.4,0.58,0.52,0.4
magicwars.csv,0.54,0.77,0.68,0.6,0.92,0.42,0.72,0.51,0.39
plplot.csv,0.49,0.66,0.7,0.59,0.55,0.56,0.57,0.5,0.42
rsyslog.csv,0.38,0.65,0.81,0.62,0.87,0.44,0.38,0.55,0.49
turbotrader-bos.csv,0.62,0.72,0.54,0.35,0.64,0.48,0.44,0.63,0.5
twostep.csv,0.81,0.76,0.54,0.72,0.61,0.5,0.51,0.55,0.47
xmemcached.csv,0.46,0.68,0.66,0.68,0.59,0.26,0.4,0.49,0.57
