,precision
kml.csv,0.75
unicase.csv,0.84
zoolib.csv,0.15
ontopia.csv,0.75
repositorium.csv,0.15
pgui.csv,0.35
ultimairis.csv,0.78
galaxium.csv,0.6
sigil.csv,0.86
ardour.csv,0.79
aten.csv,1.0
irplus.csv,0.62
xfce.csv,0.8
projecteqemu.csv,0.7
personalaccess.csv,0.97
pcsx2.csv,0.81
multitude.csv,0.82
virtuoso.csv,0.33
jrdf.csv,0.14
runuomondains.csv,0.24
jgossipforum.csv,0.0
ingex.csv,0.42
papertoolkit.csv,0.0
modplug.csv,1.0
xcmetadataservicestoolkit.csv,0.78
bionote.csv,0.4
openfrag.csv,0.89
super-tux.csv,0.95
uclmda.csv,0.17
glas.csv,0.5
itext.csv,0.88
pydev.csv,0.54
octet.csv,0.22
powerfolder.csv,0.15
auber.csv,0.74
rebecca-aiml.csv,0.27
dataobjectsdotnet.csv,0.63
jparsec.csv,0.43
twostep.csv,1.0
xbg.csv,0.2
joustsim.csv,0.27
ofbiz.csv,0.74
kftpgrabber.csv,0.56
smartgwt.csv,0.46
img-browse-sort.csv,0.36
adobe-source.csv,0.33
ibatisdb.csv,0.22
fido.csv,0.07
gdis.csv,0.92
madman.csv,0.33
soar.csv,0.56
lufa-lib.csv,0.55
somap.csv,0.95
netatalk.csv,0.67
google-web-toolkit.csv,0.66
megameknet.csv,0.65
power-architect.csv,0.79
enzo.csv,0.7
lite.csv,0.33
hannosset.csv,0.17
lportal.csv,0.08
geotools.csv,0.37
xined.csv,0.4
reaper3d.csv,0.0
openmsx.csv,0.43
loki-lib.csv,0.89
lphant.csv,0.69
ns-3-dev-def-routing.csv,0.52
wxcode.csv,0.38
