,g-score
kml.csv,0.29
unicase.csv,0.43
zoolib.csv,0.4
ontopia.csv,0.05
repositorium.csv,0.4
pgui.csv,0.68
ultimairis.csv,0.35
galaxium.csv,0.3
sigil.csv,0.62
ardour.csv,0.67
aten.csv,0.37
irplus.csv,0.37
xfce.csv,0.56
projecteqemu.csv,0.49
personalaccess.csv,0.29
pcsx2.csv,0.52
multitude.csv,0.26
virtuoso.csv,0.72
jrdf.csv,0.09
runuomondains.csv,0.54
jgossipforum.csv,0.0
ingex.csv,0.55
papertoolkit.csv,0.0
modplug.csv,0.45
xcmetadataservicestoolkit.csv,0.39
bionote.csv,0.29
openfrag.csv,0.43
super-tux.csv,0.26
uclmda.csv,0.01
glas.csv,0.1
itext.csv,0.25
pydev.csv,0.61
octet.csv,0.6
powerfolder.csv,0.8
auber.csv,0.35
rebecca-aiml.csv,0.22
dataobjectsdotnet.csv,0.28
jparsec.csv,0.16
twostep.csv,0.18
xbg.csv,0.15
joustsim.csv,0.41
ofbiz.csv,0.36
kftpgrabber.csv,0.54
smartgwt.csv,0.6
img-browse-sort.csv,0.71
adobe-source.csv,0.7
ibatisdb.csv,0.29
fido.csv,0.29
gdis.csv,0.44
madman.csv,0.54
soar.csv,0.49
lufa-lib.csv,0.55
somap.csv,0.33
netatalk.csv,0.48
google-web-toolkit.csv,0.33
megameknet.csv,0.54
power-architect.csv,0.5
enzo.csv,0.17
lite.csv,0.09
hannosset.csv,0.2
lportal.csv,0.73
geotools.csv,0.39
xined.csv,0.78
reaper3d.csv,0.0
openmsx.csv,0.06
loki-lib.csv,0.33
lphant.csv,0.54
ns-3-dev-def-routing.csv,0.57
wxcode.csv,0.74
