,d2h
kml.csv,0.75
unicase.csv,0.65
zoolib.csv,0.67
ontopia.csv,0.96
repositorium.csv,0.69
pgui.csv,0.59
ultimairis.csv,0.7
galaxium.csv,0.75
sigil.csv,0.44
ardour.csv,0.41
aten.csv,0.68
irplus.csv,0.69
xfce.csv,0.56
projecteqemu.csv,0.58
personalaccess.csv,0.75
pcsx2.csv,0.56
multitude.csv,0.79
virtuoso.csv,0.54
jrdf.csv,0.94
runuomondains.csv,0.55
jgossipforum.csv,1.0
ingex.csv,0.63
papertoolkit.csv,1.0
modplug.csv,0.6
xcmetadataservicestoolkit.csv,0.7
bionote.csv,0.75
openfrag.csv,0.62
super-tux.csv,0.81
uclmda.csv,1.3
glas.csv,0.92
itext.csv,0.79
pydev.csv,0.49
octet.csv,0.51
powerfolder.csv,0.27
auber.csv,0.71
rebecca-aiml.csv,0.84
dataobjectsdotnet.csv,0.77
jparsec.csv,0.87
twostep.csv,0.85
xbg.csv,0.88
joustsim.csv,0.66
ofbiz.csv,0.72
kftpgrabber.csv,0.54
smartgwt.csv,0.48
img-browse-sort.csv,0.53
adobe-source.csv,0.44
ibatisdb.csv,0.81
fido.csv,0.76
gdis.csv,0.63
madman.csv,0.53
soar.csv,0.7
lufa-lib.csv,0.57
somap.csv,0.73
netatalk.csv,0.58
google-web-toolkit.csv,0.74
megameknet.csv,0.51
power-architect.csv,0.71
enzo.csv,0.9
lite.csv,0.93
hannosset.csv,0.84
lportal.csv,0.44
geotools.csv,0.69
xined.csv,0.34
reaper3d.csv,1.01
openmsx.csv,0.95
loki-lib.csv,0.72
lphant.csv,0.52
ns-3-dev-def-routing.csv,0.56
wxcode.csv,0.3
