,f1
kml.csv,0.38
unicase.csv,0.53
zoolib.csv,0.21
ontopia.csv,0.08
repositorium.csv,0.21
pgui.csv,0.48
ultimairis.csv,0.43
galaxium.csv,0.36
sigil.csv,0.69
ardour.csv,0.71
aten.csv,0.48
irplus.csv,0.42
xfce.csv,0.64
projecteqemu.csv,0.54
personalaccess.csv,0.4
pcsx2.csv,0.6
multitude.csv,0.34
virtuoso.csv,0.47
jrdf.csv,0.09
runuomondains.csv,0.32
jgossipforum.csv,0.0
ingex.csv,0.48
papertoolkit.csv,0.0
modplug.csv,0.57
xcmetadataservicestoolkit.csv,0.48
bionote.csv,0.31
openfrag.csv,0.53
super-tux.csv,0.35
uclmda.csv,0.01
glas.csv,0.14
itext.csv,0.33
pydev.csv,0.56
octet.csv,0.32
powerfolder.csv,0.26
auber.csv,0.43
rebecca-aiml.csv,0.22
dataobjectsdotnet.csv,0.35
jparsec.csv,0.2
twostep.csv,0.27
xbg.csv,0.15
joustsim.csv,0.31
ofbiz.csv,0.44
kftpgrabber.csv,0.53
smartgwt.csv,0.51
img-browse-sort.csv,0.49
adobe-source.csv,0.45
ibatisdb.csv,0.24
fido.csv,0.11
gdis.csv,0.54
madman.csv,0.4
soar.csv,0.52
lufa-lib.csv,0.54
somap.csv,0.45
netatalk.csv,0.52
google-web-toolkit.csv,0.4
megameknet.csv,0.56
power-architect.csv,0.61
enzo.csv,0.23
lite.csv,0.11
hannosset.csv,0.17
lportal.csv,0.15
geotools.csv,0.36
xined.csv,0.53
reaper3d.csv,0.0
openmsx.csv,0.08
loki-lib.csv,0.42
lphant.csv,0.58
ns-3-dev-def-routing.csv,0.53
wxcode.csv,0.5
