,pf
kml.csv,0.08
unicase.csv,0.19
zoolib.csv,0.18
ontopia.csv,0.07
repositorium.csv,0.27
pgui.csv,0.54
ultimairis.csv,0.04
galaxium.csv,0.07
sigil.csv,0.14
ardour.csv,0.21
aten.csv,0.0
irplus.csv,0.11
xfce.csv,0.31
projecteqemu.csv,0.16
personalaccess.csv,0.04
pcsx2.csv,0.22
multitude.csv,0.05
virtuoso.csv,0.5
jrdf.csv,0.1
runuomondains.csv,0.22
jgossipforum.csv,0.01
ingex.csv,0.44
papertoolkit.csv,0.1
modplug.csv,0.0
xcmetadataservicestoolkit.csv,0.27
bionote.csv,0.06
openfrag.csv,0.06
super-tux.csv,0.2
uclmda.csv,0.83
glas.csv,0.05
itext.csv,0.03
pydev.csv,0.26
octet.csv,0.27
powerfolder.csv,0.18
auber.csv,0.13
rebecca-aiml.csv,0.2
dataobjectsdotnet.csv,0.11
jparsec.csv,0.12
twostep.csv,0.0
xbg.csv,0.07
joustsim.csv,0.18
ofbiz.csv,0.24
kftpgrabber.csv,0.19
smartgwt.csv,0.2
img-browse-sort.csv,0.47
adobe-source.csv,0.32
ibatisdb.csv,0.3
fido.csv,0.13
gdis.csv,0.15
madman.csv,0.16
soar.csv,0.48
lufa-lib.csv,0.32
somap.csv,0.17
netatalk.csv,0.08
google-web-toolkit.csv,0.2
megameknet.csv,0.08
power-architect.csv,0.5
enzo.csv,0.24
lite.csv,0.05
hannosset.csv,0.07
lportal.csv,0.36
geotools.csv,0.24
xined.csv,0.28
reaper3d.csv,0.16
openmsx.csv,0.04
loki-lib.csv,0.02
lphant.csv,0.15
ns-3-dev-def-routing.csv,0.33
wxcode.csv,0.11
