,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.53,0.37,0.31,0.24,0.26,0.25,0.14,0.18,0.0,0.27,0.12,0.36,0.46,0.4,0.04,0.31
beast-mcmc.csv,0.01,0.37,0.12,0.21,0.29,0.27,0.46,0.21,0.53,0.27,0.08,0.29,0.38,0.53,0.23,0.22
bigdata.csv,0.34,0.34,0.93,0.84,0.74,0.31,0.94,0.52,0.28,0.29,0.92,0.64,0.0,0.4,0.79,0.16
cuberok.csv,0.69,1.0,0.55,0.42,0.54,0.64,0.0,0.97,0.31,0.59,0.62,0.5,0.68,0.7,0.94,0.41
exist.csv,0.16,0.34,0.17,0.16,0.29,0.24,0.34,0.29,0.19,0.02,0.29,0.43,0.24,0.3,0.25,0.12
icescrum.csv,0.18,0.16,0.11,0.16,0.26,0.19,0.17,0.29,0.17,0.16,0.08,0.36,0.14,0.7,0.15,0.0
jbasic.csv,0.16,0.32,0.1,0.05,0.26,0.27,0.26,0.05,0.14,0.16,0.17,0.21,0.32,0.3,0.13,0.16
jrefactory.csv,0.52,0.0,0.64,0.55,0.54,0.4,0.6,0.56,0.67,0.41,0.33,0.36,0.41,0.7,0.51,0.53
jsecurity.csv,0.32,0.32,0.0,0.16,0.37,0.39,0.54,0.08,0.59,0.59,0.17,0.5,0.59,0.2,0.06,0.25
libopenmetaverse.csv,0.81,0.71,0.82,0.71,0.0,0.81,0.74,0.36,0.83,0.44,0.67,0.93,0.78,0.77,0.42,0.78
mobicents.csv,0.32,0.61,0.24,0.29,0.51,0.01,0.66,0.35,0.41,0.42,0.25,0.36,0.35,0.37,0.38,0.41
opendvr.csv,0.64,0.55,0.47,0.21,0.86,0.57,0.17,0.3,0.4,0.75,0.33,0.36,0.62,0.2,0.02,0.56
power-architect.csv,0.6,0.71,0.82,0.53,1.0,0.67,0.6,0.5,0.47,0.54,0.75,0.0,0.59,0.43,0.6,0.62
sidekar.csv,0.36,0.84,0.41,0.0,0.29,0.47,0.46,0.33,0.22,0.38,0.42,0.57,0.49,0.8,0.34,0.44
wheat.csv,0.22,0.13,0.09,0.11,0.37,0.18,0.23,0.06,0.31,0.56,0.0,0.07,0.16,0.13,0.51,0.19
wsmt.csv,0.09,0.03,0.05,0.05,0.14,0.02,0.09,0.02,0.21,0.05,0.12,0.14,0.16,0.03,0.23,0.0
