,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.59,0.31,0.56,0.5,0.44,0.38,0.32,0.54,0.96,0.39,0.21,0.46,0.4,0.26,0.09,0.42
beast-mcmc.csv,1.0,0.45,0.23,0.36,0.47,0.51,0.68,0.35,0.44,0.72,0.21,0.46,0.51,0.26,0.32,0.58
bigdata.csv,0.62,0.45,0.9,0.91,0.69,0.43,1.0,0.76,0.28,0.4,0.79,0.78,1.0,0.49,0.82,0.32
cuberok.csv,0.73,1.0,0.64,0.7,0.67,0.69,0.86,0.97,0.4,0.77,0.39,0.56,0.72,0.83,0.91,0.84
exist.csv,0.45,0.47,0.46,0.42,0.39,0.48,0.36,0.52,0.16,0.97,0.21,0.48,0.42,0.14,0.23,0.58
icescrum.csv,0.59,0.31,0.18,0.36,0.25,0.43,0.36,0.7,0.32,0.26,0.07,0.37,0.32,0.26,0.14,1.0
jbasic.csv,0.38,0.35,0.21,0.19,0.25,0.43,0.41,0.92,0.24,0.23,0.07,0.28,0.32,0.17,0.23,0.26
jrefactory.csv,0.41,0.96,0.38,0.3,0.69,0.37,0.68,0.41,0.4,0.36,0.64,0.43,0.37,0.89,0.23,0.47
jsecurity.csv,0.41,0.37,0.92,0.36,0.17,0.34,0.36,0.17,0.32,0.53,0.32,0.41,0.47,0.14,0.14,0.37
libopenmetaverse.csv,0.8,0.88,0.77,0.8,0.92,0.82,0.86,0.62,0.64,0.54,0.57,0.72,0.71,0.89,0.41,0.74
mobicents.csv,0.55,0.51,0.36,0.48,0.39,0.98,0.73,0.62,0.52,0.62,0.36,0.5,0.53,0.43,0.32,0.47
opendvr.csv,0.35,0.73,0.54,0.41,0.69,0.53,0.36,0.37,0.56,0.62,0.54,0.72,0.51,0.11,0.91,0.47
power-architect.csv,0.56,0.63,0.79,0.67,0.97,0.73,0.5,0.44,0.64,0.63,0.79,0.96,0.7,0.23,0.59,0.79
sidekar.csv,0.64,0.75,0.79,1.0,0.53,0.55,0.55,0.62,0.36,0.56,0.25,0.56,0.52,0.54,0.32,0.74
wheat.csv,0.36,0.43,0.21,0.06,0.5,0.21,0.18,0.0,0.4,0.35,0.96,0.31,0.2,0.31,0.64,0.42
wsmt.csv,0.11,0.02,0.05,0.0,0.22,0.03,0.05,0.0,0.12,0.03,0.14,0.02,0.09,0.94,0.09,0.0
