,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.29,0.53,0.29,0.78,0.64,0.62,0.58,0.74,1.0,0.66,0.67,0.83,0.86,0.43,0.5,0.44
beast-mcmc.csv,0.99,0.62,0.3,0.74,0.63,0.67,0.48,0.61,0.26,0.78,0.75,0.86,0.91,0.36,0.37,0.61
bigdata.csv,0.41,0.64,0.18,0.64,0.49,0.59,0.4,0.59,0.3,0.64,0.5,0.82,1.0,0.59,0.3,0.55
cuberok.csv,0.28,0.57,0.21,0.74,0.56,0.53,1.0,0.49,0.36,0.63,0.42,0.81,0.88,0.58,0.29,0.55
exist.csv,0.52,0.65,0.39,0.82,0.58,0.68,0.4,0.63,0.27,0.98,0.46,0.81,0.93,0.36,0.28,0.73
icescrum.csv,0.56,0.73,0.27,0.79,0.5,0.7,0.57,0.7,0.44,0.67,0.5,0.8,0.95,0.3,0.27,1.0
jbasic.csv,0.47,0.6,0.32,0.86,0.5,0.62,0.5,0.95,0.43,0.65,0.33,0.83,0.88,0.4,0.42,0.5
jrefactory.csv,0.23,1.0,0.12,0.48,0.57,0.49,0.42,0.41,0.2,0.53,0.69,0.82,0.87,0.6,0.16,0.35
jsecurity.csv,0.32,0.61,1.0,0.79,0.32,0.48,0.3,0.69,0.19,0.54,0.69,0.76,0.85,0.45,0.5,0.47
libopenmetaverse.csv,0.27,0.62,0.18,0.65,1.0,0.52,0.42,0.62,0.25,0.62,0.5,0.75,0.87,0.57,0.29,0.36
mobicents.csv,0.39,0.53,0.26,0.74,0.44,0.99,0.41,0.63,0.35,0.66,0.62,0.84,0.92,0.58,0.26,0.41
opendvr.csv,0.17,0.64,0.21,0.76,0.45,0.49,0.57,0.53,0.38,0.52,0.65,0.89,0.86,0.4,0.95,0.33
power-architect.csv,0.26,0.54,0.18,0.68,0.5,0.53,0.34,0.46,0.37,0.61,0.55,1.0,0.89,0.38,0.29,0.43
sidekar.csv,0.4,0.54,0.31,1.0,0.66,0.55,0.43,0.64,0.41,0.66,0.41,0.79,0.89,0.44,0.28,0.5
wheat.csv,0.38,0.81,0.33,0.5,0.58,0.55,0.33,0.0,0.36,0.45,1.0,0.94,0.9,0.73,0.34,0.57
wsmt.csv,0.3,0.5,0.18,0.0,0.62,0.67,0.25,0.0,0.2,0.43,0.57,0.33,0.8,0.97,0.14,0.0
