,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.92,0.88,0.96,0.91,0.95,0.89,0.92,0.89,0.95,0.86,0.86,0.75,0.5,0.67
dvt.csv,0.87,0.59,0.99,0.98,0.67,0.73,0.74,0.88,0.65,0.91,0.95,0.78,0.89,0.69
flylinkdc.csv,0.71,0.56,0.77,0.96,0.59,0.64,0.7,0.65,0.75,0.57,0.61,0.65,0.67,0.73
fulguro.csv,0.94,0.93,0.43,0.84,0.95,0.98,0.88,0.86,0.97,0.9,0.75,0.86,0.0,0.89
gnome-jabber.csv,0.39,0.39,0.28,0.65,0.41,0.48,0.56,0.37,0.46,0.36,0.53,0.54,0.53,0.49
ipfire-wall.csv,0.92,0.48,0.57,0.62,0.74,0.57,0.86,0.4,0.67,0.56,0.53,0.58,0.68,0.63
jruby.csv,0.38,0.41,0.26,0.53,0.92,0.6,0.94,0.34,0.56,0.67,0.57,0.48,0.71,0.0
ldview.csv,0.62,0.71,0.26,0.71,0.66,0.68,0.67,0.61,0.83,0.69,0.7,0.78,0.52,0.65
maidsafe-dht.csv,0.9,0.77,0.71,0.84,0.86,0.5,0.8,0.43,0.73,0.5,0.89,0.57,0.0,0.75
nuttx.csv,0.44,0.57,0.45,0.61,0.47,0.49,0.4,0.4,0.55,0.41,0.34,0.45,0.57,0.56
oorexx.csv,0.45,0.67,0.75,0.0,0.47,0.72,0.54,0.79,0.51,0.44,0.5,0.63,0.49,0.51
red5.csv,0.58,0.53,0.27,0.67,0.8,0.56,0.69,0.45,0.64,0.88,0.6,0.62,0.86,0.82
vdsf.csv,0.42,0.4,0.99,0.95,0.43,0.61,0.56,0.48,0.47,0.36,0.56,0.52,0.43,0.41
xbrlapi.csv,0.96,0.54,0.41,0.61,0.7,0.74,0.65,0.47,0.75,0.76,0.97,0.95,0.42,0.57
