,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.08,0.2,0.0,0.1,0.18,0.16,0.18,0.19,0.95,0.0,0.14,0.06,0.0,0.14
dvt.csv,0.24,0.58,0.19,0.33,0.23,0.99,0.42,0.2,0.35,0.14,0.34,0.46,0.22,0.1
flylinkdc.csv,0.96,0.39,0.17,0.18,0.39,0.33,0.32,0.54,0.27,0.44,0.33,0.32,0.39,0.27
fulguro.csv,0.22,0.42,0.13,0.68,0.18,0.18,0.28,0.16,0.32,0.36,0.08,0.08,0.05,0.9
gnome-jabber.csv,0.4,0.64,0.17,0.7,0.28,0.47,0.42,0.69,0.32,0.52,0.98,0.8,0.62,0.25
ipfire-wall.csv,0.44,0.48,0.21,0.49,0.32,0.31,0.07,0.55,0.29,1.0,0.34,0.49,0.36,0.2
jruby.csv,0.37,0.65,0.16,0.9,0.0,0.47,0.22,0.65,0.35,0.0,0.34,1.0,0.4,0.0
ldview.csv,0.42,0.4,0.16,0.73,0.35,0.33,1.0,0.51,0.15,0.45,0.34,0.55,0.61,0.17
maidsafe-dht.csv,0.3,0.29,0.18,0.38,1.0,0.3,0.08,0.63,0.42,0.53,0.18,0.4,0.05,0.0
nuttx.csv,0.55,0.34,0.17,0.99,0.42,0.34,0.44,0.58,0.09,0.49,0.59,0.61,0.49,0.16
oorexx.csv,0.37,0.37,0.02,0.0,0.41,0.46,0.53,0.42,0.21,0.38,0.43,0.74,0.96,0.19
red5.csv,0.29,0.56,0.15,0.7,0.26,0.39,0.46,0.99,0.48,0.0,0.81,0.71,0.23,0.13
vdsf.csv,0.44,0.65,0.8,0.29,0.3,0.45,0.55,0.59,0.43,0.51,0.95,0.85,0.69,0.22
xbrlapi.csv,0.29,0.99,0.12,0.71,0.17,0.28,0.42,0.55,0.3,0.46,0.47,0.24,0.48,0.25
