,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.05,0.12,0.0,0.05,0.21,0.1,0.14,0.12,0.95,0.0,0.08,0.03,0.0,0.09
dvt.csv,0.24,0.57,0.25,0.21,0.29,0.98,0.48,0.12,0.43,0.11,0.21,0.3,0.14,0.18
flylinkdc.csv,0.92,0.31,0.3,0.1,0.5,0.31,0.24,0.4,0.24,0.39,0.2,0.21,0.28,0.45
fulguro.csv,0.16,0.29,0.53,0.57,0.21,0.19,0.19,0.09,0.38,0.28,0.04,0.04,0.03,0.82
gnome-jabber.csv,0.78,0.83,0.99,0.61,0.71,0.79,0.62,0.77,0.62,0.89,0.99,0.75,0.58,0.91
ipfire-wall.csv,0.38,0.43,0.45,0.35,0.43,0.29,0.05,0.53,0.43,1.0,0.21,0.35,0.28,0.36
jruby.csv,0.7,0.79,1.0,1.0,0.0,0.5,0.19,0.77,0.52,0.0,0.21,1.0,0.33,0.0
ldview.csv,0.59,0.33,1.0,0.65,0.57,0.52,1.0,0.42,0.1,0.39,0.21,0.4,0.58,0.45
maidsafe-dht.csv,0.19,0.19,0.31,0.24,1.0,0.26,0.05,0.53,0.62,0.5,0.1,0.26,0.03,0.0
nuttx.csv,0.73,0.26,0.49,0.99,0.71,0.36,0.43,0.58,0.1,0.61,0.42,0.48,0.39,0.27
oorexx.csv,0.57,0.33,0.01,0.0,0.79,0.52,0.62,0.33,0.29,0.56,0.28,0.64,0.97,0.55
red5.csv,0.43,0.6,0.89,0.61,0.36,0.52,0.62,0.98,0.71,0.0,0.71,0.6,0.14,0.27
vdsf.csv,0.89,0.9,0.84,0.18,0.86,0.86,0.86,0.63,1.0,1.0,0.93,0.84,0.83,1.0
xbrlapi.csv,0.24,0.98,0.51,0.65,0.29,0.4,0.38,0.56,0.38,0.44,0.32,0.14,0.42,0.55
