,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.17,0.62,0.0,0.91,0.15,0.44,0.25,0.56,0.95,0.0,1.0,1.0,0.0,0.33
dvt.csv,0.24,0.59,0.15,0.84,0.19,1.0,0.37,0.62,0.29,0.18,0.95,0.93,0.56,0.07
flylinkdc.csv,1.0,0.52,0.12,0.73,0.32,0.36,0.5,0.85,0.31,0.5,1.0,0.76,0.67,0.19
fulguro.csv,0.33,0.8,0.08,0.83,0.16,0.16,0.5,0.57,0.28,0.5,1.0,0.71,1.0,1.0
gnome-jabber.csv,0.27,0.52,0.09,0.81,0.17,0.34,0.32,0.63,0.21,0.36,0.98,0.85,0.66,0.14
ipfire-wall.csv,0.54,0.55,0.14,0.79,0.26,0.34,0.14,0.57,0.21,1.0,1.0,0.85,0.53,0.13
jruby.csv,0.25,0.56,0.09,0.83,0.0,0.44,0.25,0.56,0.27,0.0,0.9,1.0,0.5,0.0
ldview.csv,0.32,0.5,0.09,0.84,0.25,0.24,1.0,0.64,0.33,0.54,0.95,0.91,0.64,0.1
maidsafe-dht.csv,0.7,0.62,0.12,0.82,1.0,0.34,0.2,0.77,0.32,0.56,1.0,0.89,1.0,0.0
nuttx.csv,0.44,0.48,0.11,0.98,0.29,0.33,0.45,0.58,0.09,0.41,0.95,0.85,0.67,0.11
oorexx.csv,0.27,0.42,0.25,0.0,0.28,0.42,0.46,0.58,0.16,0.29,0.93,0.87,0.95,0.12
red5.csv,0.22,0.53,0.08,0.83,0.2,0.31,0.36,1.0,0.36,0.0,0.96,0.88,0.71,0.09
vdsf.csv,0.29,0.51,0.76,0.77,0.18,0.3,0.4,0.56,0.28,0.34,0.96,0.87,0.59,0.12
xbrlapi.csv,0.35,1.0,0.07,0.79,0.12,0.22,0.47,0.53,0.25,0.47,0.91,0.82,0.58,0.16
