,pokeglobal.csv,jhotdraw.csv,unflobtactical.csv,cascading.csv
cascading.csv,0.71,0.65,0.54,0.66
jhotdraw.csv,0.13,0.6,0.3,0.61
pokeglobal.csv,0.69,0.46,0.32,0.44
unflobtactical.csv,0.59,0.64,0.74,0.56
