,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.53,0.73,0.86,0.88,0.84,0.76,0.95,0.98,0.0,0.95,0.91,1.07,0.78,0.94,0.91
biodwh.csv,0.49,0.74,0.63,0.66,0.65,0.77,0.85,0.89,0.94,0.89,0.8,0.96,0.08,0.71,0.91
brlcad.csv,0.98,0.27,0.65,0.86,0.97,0.81,0.66,0.54,0.94,0.93,0.56,0.36,1.03,1.06,0.88
delphilhlplib.csv,0.88,0.46,0.0,0.79,0.78,0.67,0.62,0.63,0.8,0.62,0.86,0.62,0.87,0.44,0.67
exordium.csv,0.8,0.74,0.66,0.81,0.05,0.65,0.61,0.83,0.73,0.76,0.84,1.18,0.98,0.78,0.81
fltk.csv,0.48,0.72,0.59,0.13,0.39,0.59,0.54,0.85,0.75,0.9,0.55,0.17,0.53,0.43,0.84
gzigzag.csv,0.36,0.87,0.85,0.7,0.69,0.07,0.53,0.92,0.82,0.72,0.85,0.99,0.69,1.0,0.91
jcache.csv,0.92,0.89,0.89,0.71,0.7,0.75,0.57,0.82,0.65,0.66,0.86,0.45,0.61,0.02,0.83
mimosa.csv,0.74,0.92,0.84,0.58,0.77,0.68,0.76,0.57,0.86,0.0,0.74,0.26,0.57,0.36,0.69
moast.csv,0.98,1.0,1.01,0.94,0.9,0.74,0.96,0.98,0.95,0.58,1.0,0.01,0.56,0.86,0.94
mptvseries.csv,0.59,0.83,0.67,0.46,0.47,0.6,0.11,0.93,0.78,0.37,0.66,0.86,0.68,0.53,0.87
ogre.csv,0.96,1.0,0.95,1.0,0.96,0.98,0.9,0.0,1.0,1.0,1.0,0.97,1.0,1.0,1.01
qdvdauthor.csv,0.82,0.66,0.74,0.61,0.73,0.69,0.59,0.75,0.81,0.77,0.03,0.5,0.86,0.82,0.86
sauerbraten.csv,0.0,0.69,0.79,0.66,0.58,0.68,0.91,0.93,0.81,0.76,0.92,0.94,0.84,0.85,1.0
zxing.csv,0.76,0.94,1.06,0.72,0.69,0.57,0.56,0.8,0.66,0.84,0.46,1.05,0.6,0.9,0.02
