,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.91,0.55,0.63,0.51,0.76
encog-java.csv,0.82,0.08,0.03,0.29,0.22
h2database.csv,0.64,0.7,0.14,0.71,0.27
jaql.csv,0.86,0.42,0.34,0.67,0.56
raven-monitoring.csv,0.48,0.36,0.71,0.38,0.14
