,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.82,0.56,0.35,0.32,0.37
encog-java.csv,0.27,0.06,0.02,0.03,0.11
h2database.csv,0.29,0.24,0.1,0.37,0.06
jaql.csv,0.59,0.22,0.21,0.2,0.41
raven-monitoring.csv,0.54,0.52,0.31,0.37,0.27
