,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.42,0.59,0.62,0.33,0.36,0.95,0.24,0.77,0.64,0.47,0.29,0.47,1.0,0.41
crux-framework.csv,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0
etherboot.csv,0.81,0.36,0.12,0.31,0.91,0.35,0.33,0.59,0.3,0.37,0.63,0.4,0.67,0.3
freebios.csv,0.45,0.36,0.12,0.46,0.5,0.68,0.98,0.63,0.36,0.53,0.49,0.53,0.33,0.48
gebr.csv,0.87,0.86,0.62,0.56,0.68,0.95,0.59,0.9,0.85,0.84,0.79,0.84,1.0,0.93
gnukeda.csv,0.52,0.59,0.62,0.97,0.68,0.68,0.31,0.56,0.6,0.63,0.49,0.39,0.67,0.78
google-gears.csv,0.87,0.82,0.62,0.59,0.91,0.62,0.35,0.77,1.0,0.53,1.0,0.84,1.0,0.33
gstreamer.csv,0.58,0.82,0.06,0.41,0.41,0.84,0.41,0.53,0.68,0.37,0.44,0.98,1.0,0.74
jnode.csv,0.03,0.14,0.69,0.1,0.05,0.0,0.06,0.06,0.0,0.11,0.06,0.02,0.0,0.0
metacosm.csv,0.45,0.55,0.19,0.36,0.27,0.7,0.2,0.33,0.6,0.42,0.38,0.41,0.67,1.0
openmeetings.csv,0.32,1.0,0.75,0.28,0.18,0.7,0.27,0.38,0.51,0.32,0.24,0.31,0.33,0.41
pgui.csv,0.48,0.59,0.31,0.36,0.45,0.49,0.27,0.3,0.96,0.37,0.38,0.28,0.33,0.56
tradelink.csv,0.39,0.27,0.19,0.54,0.27,0.92,0.14,0.23,0.7,1.0,0.43,0.62,0.67,0.26
wxcrp.csv,0.94,0.55,0.75,0.18,0.14,0.51,0.02,0.18,0.3,0.58,0.18,0.16,0.33,0.7
