,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,5.0,14.0,15.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,10.0,2.0
crux-framework.csv,105.0,0.0,411.0,70.0,82.0,116.0,99.0,135.0,168.0,95.0,0.0,342.0,0.0,57.0
etherboot.csv,0.0,39.0,17.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,1.0,5.0,0.0
freebios.csv,0.0,5.0,45.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,2.0,31.0,6.0
gebr.csv,0.0,22.0,132.0,0.0,8.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,54.0,5.0
gnukeda.csv,5.0,8.0,7.0,0.0,8.0,8.0,2.0,0.0,4.0,1.0,0.0,0.0,42.0,1.0
google-gears.csv,0.0,28.0,22.0,0.0,0.0,3.0,15.0,0.0,2.0,0.0,0.0,2.0,25.0,5.0
gstreamer.csv,8.0,8.0,147.0,0.0,0.0,4.0,0.0,1.0,1.0,8.0,0.0,0.0,23.0,4.0
jnode.csv,3.0,5.0,0.0,0.0,0.0,116.0,0.0,0.0,168.0,0.0,0.0,0.0,111.0,57.0
metacosm.csv,7.0,1.0,79.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,21.0,0.0
openmeetings.csv,2.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,14.0,0.0
pgui.csv,5.0,39.0,66.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,4.0,22.0,0.0
tradelink.csv,4.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0
wxcrp.csv,0.0,37.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,68.0,1.0
