,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.41,0.33,0.14,0.44,0.38,0.97,0.29,0.75,0.51,0.27,0.43,0.56,0.14,0.52
crux-framework.csv,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0
etherboot.csv,0.48,0.11,0.04,0.44,0.95,0.26,0.36,0.61,0.28,0.25,0.69,0.49,0.17,0.32
freebios.csv,0.34,0.46,0.04,0.47,0.38,0.5,0.99,0.67,0.34,0.3,0.57,0.57,0.05,0.53
gebr.csv,0.45,0.25,0.05,0.57,0.4,0.51,0.5,0.94,0.47,0.32,0.78,0.73,0.06,0.65
gnukeda.csv,0.42,0.37,0.08,0.99,0.41,0.51,0.35,0.68,0.49,0.41,0.6,0.53,0.07,0.58
google-gears.csv,0.5,0.35,0.11,0.62,0.42,0.39,0.35,0.8,0.46,0.3,1.0,0.71,0.1,0.39
gstreamer.csv,0.46,0.36,0.01,0.52,0.35,0.5,0.45,0.65,0.44,0.29,0.57,0.98,0.1,0.6
jnode.csv,0.06,0.09,0.81,0.18,0.07,0.0,0.12,0.12,0.0,0.16,0.11,0.04,0.0,0.0
metacosm.csv,0.41,0.52,0.05,0.47,0.29,0.5,0.27,0.49,0.46,0.33,0.53,0.56,0.11,1.0
openmeetings.csv,0.42,1.0,0.1,0.44,0.23,0.56,0.35,0.53,0.49,0.32,0.38,0.45,0.1,0.58
pgui.csv,0.46,0.2,0.09,0.44,0.32,0.46,0.37,0.45,0.97,0.28,0.52,0.38,0.05,0.6
tradelink.csv,0.43,0.4,0.09,0.58,0.29,0.5,0.22,0.37,0.43,0.97,0.55,0.62,0.1,0.39
wxcrp.csv,0.95,0.22,0.1,0.29,0.19,0.58,0.04,0.3,0.35,0.45,0.3,0.27,0.03,0.56
