,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.47,0.17,0.19,0.27,0.33,0.44,0.27,0.29,0.15,0.51,0.33,0.45,1.0
aubit4gl.csv,0.31,0.41,0.19,0.49,0.2,0.15,0.99,0.14,0.36,0.58,0.16,0.14,0.29
bionote.csv,0.03,0.0,0.0,0.0,0.0,0.14,0.0,0.13,0.0,0.0,0.86,0.04,0.24
liferea.csv,0.44,0.23,0.21,0.57,0.33,0.92,0.56,0.21,0.18,0.41,0.34,0.56,0.42
opensim4opencog.csv,0.06,0.24,0.29,0.0,0.11,0.24,0.61,0.98,0.0,0.1,0.28,0.19,0.52
pclasses.csv,0.18,0.9,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.14,0.0
plearn.csv,0.96,0.25,0.15,0.29,0.14,0.14,0.59,0.2,0.39,0.39,0.29,0.6,0.2
psrchive.csv,0.28,0.18,0.2,0.11,1.0,0.0,0.07,0.06,0.1,0.14,0.3,0.17,0.14
re2c.csv,0.36,0.34,1.0,0.31,0.54,0.14,0.68,0.13,0.3,0.47,0.2,0.6,0.37
rebecca-aiml.csv,0.38,0.26,0.25,0.35,0.24,0.22,0.62,0.18,0.24,0.56,0.43,0.99,0.4
thrust.csv,0.4,0.0,0.11,0.19,0.25,0.15,0.57,0.18,0.87,0.43,0.0,0.61,0.33
tzod.csv,0.39,0.11,0.11,0.94,0.24,0.4,0.63,0.24,0.0,0.43,0.33,0.39,0.39
yaprm.csv,0.39,0.17,0.16,0.48,0.35,0.18,0.63,0.19,0.33,0.96,0.18,0.52,0.26
