,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.57,0.85,0.73,0.88,0.62,0.39,0.95,0.78,0.89,0.53,0.81,0.66,0.71
aubit4gl.csv,0.65,0.89,0.58,0.53,0.54,0.46,0.51,0.97,0.88,0.47,0.67,0.85,0.86
bionote.csv,0.89,0.0,0.0,0.0,0.75,0.0,0.8,0.86,0.0,0.0,0.83,0.0,0.83
liferea.csv,0.43,0.67,0.41,0.42,0.38,0.77,0.33,0.55,0.8,0.5,0.48,0.53,0.4
opensim4opencog.csv,0.83,0.83,0.0,0.0,0.75,0.75,0.35,0.95,0.0,0.5,0.76,0.94,0.63
pclasses.csv,0.96,0.89,0.0,0.56,0.0,0.0,0.0,0.67,0.0,0.0,0.67,0.95,0.0
plearn.csv,0.71,0.81,0.55,0.76,0.66,0.88,0.43,0.75,0.79,0.79,0.92,0.77,0.87
psrchive.csv,0.96,0.91,0.75,0.88,0.93,0.75,0.75,0.9,0.67,0.8,0.83,0.8,0.86
re2c.csv,0.66,0.79,0.83,0.69,0.56,0.87,0.38,0.96,0.96,0.58,0.83,0.7,0.69
rebecca-aiml.csv,0.71,0.67,0.9,0.84,0.63,0.58,0.4,0.77,0.68,0.5,0.73,0.66,0.53
thrust.csv,0.78,0.89,0.58,0.93,0.9,0.92,0.41,0.7,0.87,0.54,0.84,0.72,0.87
tzod.csv,0.59,0.86,0.69,0.62,0.57,0.31,0.37,0.48,0.5,0.57,0.53,0.63,0.59
yaprm.csv,0.57,0.92,0.53,0.61,0.53,0.89,0.42,0.73,0.74,0.47,0.93,0.79,0.91
