,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.49,0.18,0.33,0.22,0.5,0.69,0.19,0.43,0.12,0.46,0.5,0.44,1.0
aubit4gl.csv,0.37,0.55,0.67,0.52,0.36,0.23,1.0,0.17,0.35,0.68,0.38,0.15,0.17
bionote.csv,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.09,0.0,0.0,0.75,0.02,0.14
liferea.csv,0.54,0.27,0.5,0.56,0.57,0.92,0.56,0.39,0.12,0.35,0.62,0.46,0.49
opensim4opencog.csv,0.03,0.18,0.17,0.0,0.07,0.15,0.59,0.96,0.0,0.05,0.5,0.13,0.4
pclasses.csv,0.14,0.82,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.0
plearn.csv,0.93,0.36,0.33,0.3,0.21,0.15,0.67,0.39,0.47,0.3,0.38,0.54,0.31
psrchive.csv,0.2,0.18,0.17,0.07,1.0,0.0,0.04,0.04,0.06,0.08,0.38,0.09,0.09
re2c.csv,0.32,0.55,1.0,0.33,0.79,0.15,0.83,0.13,0.35,0.43,0.25,0.69,0.71
rebecca-aiml.csv,0.32,0.27,0.33,0.3,0.36,0.31,0.72,0.3,0.29,0.54,0.62,0.98,0.46
thrust.csv,0.32,0.0,0.17,0.15,0.21,0.15,0.59,0.39,0.82,0.38,0.0,0.61,0.34
tzod.csv,0.41,0.09,0.17,0.89,0.36,0.85,0.78,0.48,0.0,0.38,0.88,0.35,0.77
yaprm.csv,0.46,0.18,0.33,0.52,0.57,0.15,0.69,0.3,0.35,0.95,0.25,0.56,0.17
