,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.7,0.08,0.23,0.0,0.77,0.54,0.39,0.56,0.47,0.51
fulguro.csv,0.0,0.04,0.08,0.39,0.03,0.03,0.03,0.05,0.05,0.0
fw4spl.csv,0.2,0.31,0.1,0.53,0.0,0.73,0.0,0.16,0.09,0.44
google-web-toolkit.csv,0.32,0.34,0.28,0.62,0.23,0.19,0.2,0.01,0.3,0.33
jstock.csv,0.22,0.81,0.31,0.42,0.06,0.05,0.05,0.14,0.0,0.08
ldview.csv,0.1,0.11,0.15,0.52,0.19,0.0,0.26,0.19,0.16,0.32
nuttx.csv,0.92,0.95,0.05,0.61,0.81,0.7,0.89,0.76,0.84,0.76
utgb.csv,0.38,0.28,0.28,0.21,0.0,0.16,0.26,0.25,0.28,0.3
vdsf.csv,1.0,0.0,1.0,0.91,1.0,1.0,0.87,0.95,0.91,1.0
xbrlapi.csv,0.0,0.1,0.26,0.14,0.19,0.27,0.08,0.2,0.26,0.19
